session_name,question,response,course_name
"Day 2, morning",worked well for,I learned a lot. It was well put together,Advanced
"Day 2, morning",could be improved for,Maybe a bit quicker progression if possible,Advanced
"Day 2, morning",worked well for,interactive sessions,Advanced
"Day 2, morning",could be improved for,a few more breaks are needed!,Advanced
"Day 2, morning",worked well for,"I think overall the session worked quite well, and the concepts and use of targets was fairly well explained",Advanced
"Day 2, morning",could be improved for,Nothing,Advanced
"Day 2, morning",worked well for,code along,Advanced
"Day 2, morning",could be improved for,"take more time to explain: what we are going to do and why we do it, as we move on from each section",Advanced
"Day 2, morning",worked well for,Very useful workflow!Changed my view on how to construct my analysis pipelines.,Advanced
"Day 2, morning",could be improved for,Nothing in my opinion.,Advanced
"Day 2, morning",worked well for,very cool introduction for targets,Advanced
"Day 2, morning",could be improved for,"not really, but maybe specify that R studio should be a version released > 2023",Advanced
"Day 2, morning",worked well for,The visualization with tar_visnetwork() to show how target works,Advanced
"Day 2, morning",worked well for,"Learning about targets package, creating pipelines and understanding how efficient these pipelines could be",Advanced
"Day 2, morning",could be improved for,nothing really,Advanced
"Day 2, morning",worked well for,"Roger is engaging and fun and moves at a good pace, and stays calm when something goes wrong.",Advanced
"Day 2, morning",could be improved for,A little confusing that packages were not always loaded and installed (but also a learning opportunity I guess),Advanced
"Day 2, morning",worked well for,"I really liked the structure of this session, and how we narrowed it down gradually!",Advanced
"Day 2, morning",could be improved for,I think the example of how Targets works were kinda confusing..,Advanced
"Day 2, morning",worked well for,The topic that we covered was very interesting!The instructor did a great job and was engaging during all the session.,Advanced
"Day 2, morning",could be improved for,The session felt a bit slow with some long waiting times.,Advanced
"Day 2, morning",worked well for,"It was all very good. Especially the end, where I understood how it worked and what it does.",Advanced
"Day 2, morning",could be improved for,"It took me a long time to understand that there was no output for the _targets.R untill we asked it to read them in the qmd file. This would have been nice to know from the begining, to know what I was looking for during all the way until we did the tar_read funciton.",Advanced
"Day 2, morning",worked well for,targets worked nice when it finally worked.,Advanced
"Day 2, morning",could be improved for,"Code-a-longs can be prone to a lot of spelling errors. It is hard to program when ""auto complete"" does not work.",Advanced
"Day 2, morning",worked well for,"Once we are able to visualize the network, the rationale for using targets really made sense to me.",Advanced
"Day 2, morning",could be improved for,"It was initially unclear to me why we needed to add: tar_target(        name = file,        command = ""data/lipidomics.csv"",        format = ""file""    ),to the pipeline until it was discussed further. Maybe a better description of what this is actually doing would clarify this.",Advanced
"Day 2, morning",worked well for,The repetition of making functions.,Advanced
"Day 2, morning",could be improved for,"The targets concept is quite complicated. If time is left, maybe re-reiterate the concepts. Especially I gpt a bit lost in the thinking behind the codes that link the targets script to the quarto doc.",Advanced
"Day 2, morning",worked well for,The coding along is always very helpful and the reading taks as well,Advanced
"Day 2, morning",could be improved for,sometimes it was not very easy to follow *why* we were doing what we were doing instead just following the instructions,Advanced
"Day 2, morning",worked well for,Fine instructions,Advanced
"Day 2, morning",could be improved for,A few problems related to package installing and typoes making the session feel not very effecient.,Advanced
"Day 2, morning",worked well for,"good pace. Great to see the end. A ""la reveal magnifico""",Advanced
"Day 2, morning",could be improved for,would be cool to see an example of a bigger project that have used targets,Advanced
"Day 2, afternoon",worked well for,All the small steps. A lot happens and good to get it one thing at a time.,Advanced
