questions,responses
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Better project management in R. Easier to scale projects/code when new stuff gets added.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Better streamline my analysis and use functions instead of a repetitive script
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Creating good habits in R from the beginning.Learning how to incorporate Git in my work. Understanding pipelines and workflow in R
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Efficient data analysis, automating my workflow raw data to final results, and improving my functional programming in general for statistical analyses."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Good data management ""behavior"", with efficient coding, but most of all transparency - to my later self and colleagues."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I aim to improve my ability to collaborate effectively with others by sharing data more efficiently and modifying data directly on GitHub. I want to make my work more understandable, organized, and reproducible for others. This includes adopting better organizational practices and improving my coding style to enhance reproducibility. Additionally, I hope to receive guidance on optimizing my GitHub setup as I am right now struggling very much to make it work."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I am part of a EU consortium that aims to study data driven precision nutrition using lots of omics data resulting from a dietary intervention study. As most of the doctoral candidates in the consortium will be working on these data (including myself), i hope to learn how to use Git for collaboration across institutes and gain more extensive experience handling large datasets and writing analysis pipelines"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I expect to become even better at writing reproducible code in R and to also get a better understanding of the targets pipeline that we use in one of my research collaborations.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I expect to learn a lot more about how to organize and set up projects in a reproducible and organized way, making it easier for the future me and others to understand what I have done, and why."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I expect to learn a new approach to collaborating on coding projects and perhaps getting more structured in the way i store and create new coding projects such that others can easily double-check or help correct any coding on a project.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I expect to learn more about efficient programming in R and make it easier for collaborators to understand and reproduce my code
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I hope to be better organized when I'm working in R, through all the steps from raw data to final results."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I want to be better at functions and making my work in R reproducible
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I want to learn better coding practices in terms of reproducibility and collaboration
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I want to learn how to make my research more organized, reproducible, and easier to collaborate on. I hope to understand version control with Git and GitHub, how to set up workflows, and how to automate data analysis pipelines in R.After the course, I’d like to be able to:Use Git and GitHub confidently in my projects.Create automated analysis pipelines from raw data to final results.Make my research easier to share and reproduce using tools like Quarto.Since I’m starting my PhD, this course feels like the perfect opportunity to learn these skills and set up good habits from the beginning."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I would like to create some automatised workflows for analysing my data.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I would like to get more comfortable working with R and learn how to build a pipeline.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I would like to learn how to use GitHub for my data analysis projects and create easily reproducible analysis pipelines.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I would really like to increase my workflow, and techniques to structure my research. All the way from raw data to publish ready table and figures."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Improve the use of functions and functionals to make my codes clearer and shorter
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Learn how to setup projects so they are collaborator friendly and reproducible so I can use this for future collaborations on data for my own project
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,More experience interfacing with github and maybe a bit about project collaboration through github?
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Optimizing code writing. Make it more simple (e.g. with functions) and reproducible
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Reorganize my projects to make them more reproducible and easier to rerun
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Reproducible research to analyze omics data
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Set up meaningful workbooks for students, implement more automation to my work,  add code to publications, we a good collaborating partner in dataprojects, hopefully have more version control"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"To become better and more effective at producing reproducible and open science. I hope to become better at using R projects, Quarto and Git as tools to better obtain those goals. And become even better at optimizing my programming in R."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Use how to do automated pipelines in R, using Git more often and learn the best practices in coding"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"organize my data and analysis in a reproducible way, get more comfortable with using GitHub"
"In your opinion, what worked well?",All
"In your opinion, what worked well?",All
"In your opinion, what worked well?",As with the intermediate course the pre-course task is very well structured with links to previous topics if needed to recap. Also important to set up for the course. I had issues with connecting R with Github because I have moved to onedrive since the intermediate course. Nice that I am prepared to the course now with everything running.
"In your opinion, what worked well?",Easy to follow step-by-step guide.
"In your opinion, what worked well?",Errors were nicely anticipated in the text.
"In your opinion, what worked well?",Everything ran smoothly.
"In your opinion, what worked well?",Everything was clear and worked smoothly except the section 3.7 Connect with GitHub.
"In your opinion, what worked well?","Everything was fine, except for the issues mentioned in the next question."
"In your opinion, what worked well?",Everything went really smoothly. I appreciate the clear instructions!
"In your opinion, what worked well?","Fast, good not all go trough all again. A explanation in the setup file would be good to have."
"In your opinion, what worked well?",I like that it contains very clear instructions on what to do.
"In your opinion, what worked well?","I liked it a lot. for the code in nmr_omics.r, I needed to install > install.packages(""snakecase"")"
"In your opinion, what worked well?","I think It was a very clear guide with great support, also with suggestions to solve potential problems."
"In your opinion, what worked well?","I think it all worked very well. As I have already done the introduction and intermediate, I was familiar with the structure and spent almost no time on setting up the project and installing the packages. It was easy to follow."
"In your opinion, what worked well?","I think the flow in the tasks has a high coherence, and all tasks are well defined with appropriate help to run the different codes."
"In your opinion, what worked well?",Im new to using Git and i think the setup if difficult to understand even though I have done th beginning and intermediate course. Can the installation process become more simple for people who haven't worked with git before?
"In your opinion, what worked well?",It was a very detailed walk-through of the steps needed for participation in the course.
"In your opinion, what worked well?",It was a very nice and systematic overview with nice references to the Intermediate course for those like me who need this.
"In your opinion, what worked well?",It was great to have access to the materials from the beginner and intermediate courses. Being able to review these resources beforehand made it easier to follow the more advanced topics in this course.
