course_version,questions,responses
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"A better fundamental understanding og writing succinct and reproducible code.I have written quite a bit of code from learning on my own, but I am looking to be more efficient. I have already learned several new things (like saving an rda file) that will facilitate easier collaboration on code."
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Be better at creating efficient and reproducible pipelines for data analysis.
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Being better and smarter at doing scientific analyses in R
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Co-work with my colleagues in a structured, systematic, and similar coding way"
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Collaborate with GIT
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Create a data analysis pipeline that can be reproducible. I would like to be able to apply what I will learn in this course.
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"create reproducible work flows meant for research, or other purposes. Creating recipes.  for the previous answer, i misunderstood when the precourse material actually ended, so thats why i went a bit further."
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Hands-on approach to open, trackable, reproducible and collaborative data analysis pipeline"
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,How to make good and understandable reproducible codes/pipelines
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I am in a place between beginner and intermediate. With this course, I hope to carry my skills one step ahead."
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I dont have a lot of experience working with data analysis with R. However, i have had multiple courses in r and python, and feel like i have a good foundation in it. My lab is heavily reliant on graphpad prism. We are moving more and more into omics based methods, and i want to be competent with this type of data. My goal is to become more competent with setting up workflows using tools such as R."
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I would like to be more reproducible, my code to be more accessible, have nice documents like quarto to share with collaborators, improve my skills in R."
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I would like to get more proefficient in my data analysis and add pipelines to my toolkit
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I would like to learn how I can make reproducible research and make my codes and notes easier to understand by others. I am working with different groups from different countries, I would like to establish a solid and transparent research analysis process."
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I'm interested in coding automated analysis pipelines collaboration via Git.
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Learn how to efficiently work in R in terms of making pipelines instead of writing the same code many times for different situations, finally get used to using git and try to become a true open source researcher having as many tools for open collaboration as possible"
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Learn to make projects more robust with their own library of packages, collaborate on projects with GitHub, make an interactive web page for results display"
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Make reproducibility much easier, and get more comfortable using R and writing code"
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,pipelines
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Set up clean automated pipelines and workflows, some new structural programming tools"
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,To feel more comfortable in using  R and to integrate it better in my daily work.
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,To learn more about using R to analyse big data (and in my case omics data sets)
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,to make more need and understandable codes.
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,understand and practice coding.
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Write code that collaborators can more easily easily understand and work on.How to better use GitHub for collaborative projects.How to make a projects code available for reproducibility and transparency purposes.
1,What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,Write more reproducible code and automate more steps in data analysis.
1,Please describe the problems you've had.,I can't seem to have Git in my Rstudio (and I used to have it)
1,Please describe the problems you've had.,I got a problem with the last code to run r3:::check_project_setup_advanced(). I've deleted everything and runned the script again (3 times) and finally worked out! I also have a privacy error to access https://r-cubed-advanced.rostools.org/content/00-pre-course.html. I've used my phone to download the page and open it offline on my computer.
1,Please describe the problems you've had.,"I may have skipped something by accident but I didn't seem to have prodigenr installed by the time I reached Step 3.7, so I didn't have the option to create a new project type Scientific Analysis Project using prodigenr. This was easily fixed by installing prodigenr etc. Could have just been a me thing!"
1,Please describe the problems you've had.,"Somehow after a security update my git was missing, and it took a bit of work to reinstall it back. But it's back now :)"
1,Please describe the problems you've had.,"Using prodigen command line did not work to set up the project folder, so I need to do it manually by clicking the tabs. Also, the R version I've downloaded is not 4.2.0 but 4.1.1"
1,"In your opinion, what could be improved?",Advanced warning that r3::check_setup() will need to be coped into the survey
1,"In your opinion, what could be improved?",Can't think of any improvements - it works very well.
1,"In your opinion, what could be improved?","i think the pre-course was fine! i guess the only thing is i did not notice when the precourse ended, so i kept going. But thats more me not paying attention (or the course material being so interesting i did not notice)"
1,"In your opinion, what could be improved?",I wouldn't change anything
1,"In your opinion, what could be improved?","I've had some issues with my internet connection (hospital server), so I initially could not run the lines to access the r3 package (not placed on CRAN). Could be nice to add in the description that the internet connection could cause issues? As soon as I changed the connection to the visitor connection of the hospital, I could run the scripts :)"
1,"In your opinion, what could be improved?",More detail on Quarto can be given.
1,"In your opinion, what could be improved?",More R/Coding(Bash/Python) related workshop in the future!
1,"In your opinion, what could be improved?",na
1,"In your opinion, what could be improved?",NA
1,"In your opinion, what could be improved?",NA
1,"In your opinion, what could be improved?",NA
