course_version,id,statement,response
1,eb3c456144,I think I learned a lot from this course,Strongly agree
1,eb3c456144,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,eb3c456144,I think the content on the website clearly communicated the concepts,Strongly agree
1,eb3c456144,I think the instructors clearly communicated the concepts,Strongly agree
1,eb3c456144,I think there was good alignment between the learning activities,Strongly agree
1,eb3c456144,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,eb3c456144,"In general, I think this is a good course",Strongly agree
1,e2f1ac1751,I think I learned a lot from this course,Strongly agree
1,e2f1ac1751,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,e2f1ac1751,I think the content on the website clearly communicated the concepts,Strongly agree
1,e2f1ac1751,I think the instructors clearly communicated the concepts,Agree
1,e2f1ac1751,I think there was good alignment between the learning activities,Strongly agree
1,e2f1ac1751,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,e2f1ac1751,"In general, I think this is a good course",Strongly agree
1,d1e9340abe,I think I learned a lot from this course,Strongly agree
1,d1e9340abe,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,d1e9340abe,I think the content on the website clearly communicated the concepts,Strongly agree
1,d1e9340abe,I think the instructors clearly communicated the concepts,Strongly agree
1,d1e9340abe,I think there was good alignment between the learning activities,Strongly agree
1,d1e9340abe,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,d1e9340abe,"In general, I think this is a good course",Strongly agree
1,099c8e7409,I think I learned a lot from this course,Strongly agree
1,099c8e7409,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,099c8e7409,I think the content on the website clearly communicated the concepts,Strongly agree
1,099c8e7409,I think the instructors clearly communicated the concepts,Strongly agree
1,099c8e7409,I think there was good alignment between the learning activities,Strongly agree
1,099c8e7409,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,099c8e7409,"In general, I think this is a good course",Strongly agree
1,2832af8f7e,I think I learned a lot from this course,Strongly agree
1,2832af8f7e,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,2832af8f7e,I think the content on the website clearly communicated the concepts,Strongly agree
1,2832af8f7e,I think the instructors clearly communicated the concepts,Agree
1,2832af8f7e,I think there was good alignment between the learning activities,Agree
1,2832af8f7e,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,2832af8f7e,"In general, I think this is a good course",Strongly agree
1,746dbbde81,I think I learned a lot from this course,Strongly agree
1,746dbbde81,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,746dbbde81,I think the content on the website clearly communicated the concepts,Agree
1,746dbbde81,I think the instructors clearly communicated the concepts,Agree
1,746dbbde81,I think there was good alignment between the learning activities,Strongly agree
1,746dbbde81,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
1,746dbbde81,"In general, I think this is a good course",Strongly agree
1,69851ab48a,I think I learned a lot from this course,Strongly agree
1,69851ab48a,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,69851ab48a,I think the content on the website clearly communicated the concepts,Strongly agree
1,69851ab48a,I think the instructors clearly communicated the concepts,Strongly agree
1,69851ab48a,I think there was good alignment between the learning activities,Strongly agree
1,69851ab48a,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,69851ab48a,"In general, I think this is a good course",Strongly agree
1,a967acde99,I think I learned a lot from this course,Agree
1,a967acde99,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,a967acde99,I think the content on the website clearly communicated the concepts,Agree
1,a967acde99,I think the instructors clearly communicated the concepts,Agree
1,a967acde99,I think there was good alignment between the learning activities,Agree
1,a967acde99,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
1,a967acde99,"In general, I think this is a good course",Strongly agree
1,a6843d20f1,I think I learned a lot from this course,Strongly agree
1,a6843d20f1,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,a6843d20f1,I think the content on the website clearly communicated the concepts,Strongly agree
1,a6843d20f1,I think the instructors clearly communicated the concepts,Strongly agree
1,a6843d20f1,I think there was good alignment between the learning activities,Strongly agree
1,a6843d20f1,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,a6843d20f1,"In general, I think this is a good course",Strongly agree
1,713223290d,I think I learned a lot from this course,Strongly agree
1,713223290d,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,713223290d,I think the content on the website clearly communicated the concepts,Strongly agree
1,713223290d,I think the instructors clearly communicated the concepts,Strongly agree
1,713223290d,I think there was good alignment between the learning activities,Strongly agree
1,713223290d,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,713223290d,"In general, I think this is a good course",Strongly agree
1,118acd06f6,I think I learned a lot from this course,Strongly agree
1,118acd06f6,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,118acd06f6,I think the content on the website clearly communicated the concepts,Agree
1,118acd06f6,I think the instructors clearly communicated the concepts,Agree
1,118acd06f6,I think there was good alignment between the learning activities,Strongly agree
1,118acd06f6,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,118acd06f6,"In general, I think this is a good course",Agree
1,80e7f43325,I think I learned a lot from this course,Strongly agree
1,80e7f43325,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,80e7f43325,I think the content on the website clearly communicated the concepts,Strongly agree
1,80e7f43325,I think the instructors clearly communicated the concepts,Strongly agree
1,80e7f43325,I think there was good alignment between the learning activities,Strongly agree
1,80e7f43325,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,80e7f43325,"In general, I think this is a good course",Strongly agree
1,964f299465,I think I learned a lot from this course,Agree
1,964f299465,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,964f299465,I think the content on the website clearly communicated the concepts,Strongly agree
1,964f299465,I think the instructors clearly communicated the concepts,Agree
1,964f299465,I think there was good alignment between the learning activities,Agree
1,964f299465,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,964f299465,"In general, I think this is a good course",Strongly agree
1,4025bb89c9,I think I learned a lot from this course,Strongly agree
1,4025bb89c9,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,4025bb89c9,I think the content on the website clearly communicated the concepts,Agree
1,4025bb89c9,I think the instructors clearly communicated the concepts,Strongly agree
1,4025bb89c9,I think there was good alignment between the learning activities,Agree
1,4025bb89c9,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1,4025bb89c9,"In general, I think this is a good course",Strongly agree
