course_version,day,session,worked_well,could_be_improved
1,Day 1,Networking Activities,It was great to meet others and hear about their collaboration practices,"It was too loud, perhaps the group could be split into two and do the ""speed dating"" activity in separate rooms"
1,Day 1,Networking Activities,talking to different people,would be nice to know participants' own projects
1,Day 1,Networking Activities,quickly learned peoples purpose of attending course,smaller groups
1,Day 1,Networking Activities,Good to talk to different people,I would have liked to not have been constrained by the set questions - though i understand they are helpful to some
1,Day 1,Networking Activities,Nice doing some talking after lunch,Nothing really. 15-20 minutes is enough
1,Day 1,Networking Activities,It was nice to quickly introduce to many people.,Figuring out how to rotate (:
1,Day 1,Networking Activities,"Illuminated how others in similar/different fields collaborate, use R and how their workflows are.",Nothing!
1,Day 1,Networking Activities,It was fun! Also good to discuss the questions with several different people,One needed to shout quite a bit :D
1,Day 1,Networking Activities,They were fun.,NA
1,Day 1,Networking Activities,Nice having lunch with people we didn't sit with during the lessons.,Maybe to repetitive in the circle saying the same things but still nice to talk with some other people
1,Day 1,Networking Activities,Everything worked well,Nothing to add
1,Day 1,Networking Activities,Nice to share experiences,A bit too long.
1,Day 1,Networking Activities,"It was fun, worked well.",Shorter questions maybe.
1,Day 1,Networking Activities,Hearing about the others work and challenges,NA
1,Day 1,Networking Activities,blood flow in the legs,Nothing fancy
1,Day 1,Networking Activities,"there was a bit of cunfusion at first, but it turned out fine in th end. It worked well that people had to be standing, so we wouldnt just be slumped at the tables, and it worked that it was right after lunch. M","Maybe the 2 mins per person is a bit long, since you wont get to speak to that many people."
1,Day 1,Networking Activities,It was a good networking activity to talk to each other but still on a course-related subject. Got some good ideas to what to improve,Remember the acoustics when we are so many talking at once. Maybe better to divide into smaller groups and do the same in two separate rooms now that we actually had that
1,Day 1,Networking Activities,It was fun and refreshing,Maybe to spread the lines a bit more so you can hear the other person better
1,Day 1,Networking Activities,like it!,more group exercise!
1,Day 1,Networking Activities,Provided questions stimulated the discussion,No suggestions - worked well
1,Day 1,Networking Activities,Social activity was a nice start to meet other participants and share thoughts,NA
1,Day 1,Networking Activities,Nice to get moving after lunch and chat to new people.,"SOme more questions to discuss would be good, it got a bit repetitive.I think a timed chat would be better than 2 mins per person."
1,Day 1,Networking Activities,"It was nice speaking to some other participants on the course. The ""talking line"" worked well.",Went well
1,Day 1,Networking Activities,The chance to get a different perspective on the reasons of why people attended the course,Maybe a broader set of questions that we could talk about?
