course_version,id,statement,response
1,bd3aa5051a,I think I learned a lot from this course,Strongly agree
1,bd3aa5051a,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,bd3aa5051a,I think the content on the website clearly communicated the concepts,Strongly agree
1,bd3aa5051a,I think the instructors clearly communicated the concepts,Strongly agree
1,bd3aa5051a,I think there was good alignment between the learning activities,Strongly agree
1,bd3aa5051a,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,bd3aa5051a,"In general, I think this is a good course",Strongly agree
1,553db74924,I think I learned a lot from this course,Strongly agree
1,553db74924,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,553db74924,I think the content on the website clearly communicated the concepts,Strongly agree
1,553db74924,I think the instructors clearly communicated the concepts,Agree
1,553db74924,I think there was good alignment between the learning activities,Strongly agree
1,553db74924,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,553db74924,"In general, I think this is a good course",Strongly agree
1,e76faa0607,I think I learned a lot from this course,Strongly agree
1,e76faa0607,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,e76faa0607,I think the content on the website clearly communicated the concepts,Strongly agree
1,e76faa0607,I think the instructors clearly communicated the concepts,Strongly agree
1,e76faa0607,I think there was good alignment between the learning activities,Strongly agree
1,e76faa0607,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,e76faa0607,"In general, I think this is a good course",Strongly agree
1,34715eda0d,I think I learned a lot from this course,Strongly agree
1,34715eda0d,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,34715eda0d,I think the content on the website clearly communicated the concepts,Strongly agree
1,34715eda0d,I think the instructors clearly communicated the concepts,Strongly agree
1,34715eda0d,I think there was good alignment between the learning activities,Strongly agree
1,34715eda0d,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,34715eda0d,"In general, I think this is a good course",Strongly agree
1,ae51d57a2f,I think I learned a lot from this course,Strongly agree
