Questions,course_version,Responses
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"A better fundamental understanding og writing succinct and reproducible code.I have written quite a bit of code from learning on my own, but I am looking to be more efficient. I have already learned several new things (like saving an rda file) that will facilitate easier collaboration on code."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,Be better at creating efficient and reproducible pipelines for data analysis.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,Being better and smarter at doing scientific analyses in R
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"Co-work with my colleagues in a structured, systematic, and similar coding way"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,Collaborate with GIT
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,Create a data analysis pipeline that can be reproducible. I would like to be able to apply what I will learn in this course.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"create reproducible work flows meant for research, or other purposes. Creating recipes.  for the previous answer, i misunderstood when the precourse material actually ended, so thats why i went a bit further."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"Hands-on approach to open, trackable, reproducible and collaborative data analysis pipeline"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,How to make good and understandable reproducible codes/pipelines
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"I am in a place between beginner and intermediate. With this course, I hope to carry my skills one step ahead."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"I dont have a lot of experience working with data analysis with R. However, i have had multiple courses in r and python, and feel like i have a good foundation in it. My lab is heavily reliant on graphpad prism. We are moving more and more into omics based methods, and i want to be competent with this type of data. My goal is to become more competent with setting up workflows using tools such as R."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"I would like to be more reproducible, my code to be more accessible, have nice documents like quarto to share with collaborators, improve my skills in R."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,I would like to get more proefficient in my data analysis and add pipelines to my toolkit
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"I would like to learn how I can make reproducible research and make my codes and notes easier to understand by others. I am working with different groups from different countries, I would like to establish a solid and transparent research analysis process."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,I'm interested in coding automated analysis pipelines collaboration via Git.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"Learn how to efficiently work in R in terms of making pipelines instead of writing the same code many times for different situations, finally get used to using git and try to become a true open source researcher having as many tools for open collaboration as possible"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"Learn to make projects more robust with their own library of packages, collaborate on projects with GitHub, make an interactive web page for results display"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"Make reproducibility much easier, and get more comfortable using R and writing code"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,pipelines
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,"Set up clean automated pipelines and workflows, some new structural programming tools"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,To feel more comfortable in using  R and to integrate it better in my daily work.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,To learn more about using R to analyse big data (and in my case omics data sets)
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,to make more need and understandable codes.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,understand and practice coding.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,1,Write code that collaborators can more easily easily understand and work on.How to better use GitHub for collaborative projects.How to make a projects code available for reproducibility and transparency purposes.
