questions,responses,count
What is your formal position?,Lægevikar,1
What is your formal position?,PhD student,24
What is your formal position?,Postdoc,2
What is your formal position?,Research assistant,4
What is your formal position?,Researcher,2
What is your formal position?,Scientist,1
What city do you work in or nearest to?,Aalborg,1
What city do you work in or nearest to?,Aarhus,12
What city do you work in or nearest to?,Copenhagen,9
What city do you work in or nearest to?,Graz (Austria),1
What city do you work in or nearest to?,Hjørring,1
What city do you work in or nearest to?,Odense,9
What city do you work in or nearest to?,Riga,1
How do you perceive your skill/knowledge of... [using R?],Beginner,7
How do you perceive your skill/knowledge of... [using R?],Beginner-Intermediate,15
How do you perceive your skill/knowledge of... [using R?],Intermediate,7
How do you perceive your skill/knowledge of... [using R?],Intermediate-Advanced,5
How do you perceive your skill/knowledge of... [data analysis in general?],Advanced,1
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner,7
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner-Intermediate,10
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate,14
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate-Advanced,2
How do you perceive your skill/knowledge of... [programming in general?],Advanced,1
How do you perceive your skill/knowledge of... [programming in general?],Beginner,14
How do you perceive your skill/knowledge of... [programming in general?],Beginner-Intermediate,12
How do you perceive your skill/knowledge of... [programming in general?],Intermediate,6
How do you perceive your skill/knowledge of... [programming in general?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of... [managing data in general?],Beginner,9
How do you perceive your skill/knowledge of... [managing data in general?],Beginner-Intermediate,14
How do you perceive your skill/knowledge of... [managing data in general?],Intermediate,8
How do you perceive your skill/knowledge of... [managing data in general?],Intermediate-Advanced,3
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner,23
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner-Intermediate,8
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Intermediate,3
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Advanced,1
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner,13
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner-Intermediate,10
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate,5
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate-Advanced,5
What programs have you previously used for data analysis?,Excel,2
What programs have you previously used for data analysis?,"Excel, Covidence",1
What programs have you previously used for data analysis?,"Excel, Google Sheets",1
What programs have you previously used for data analysis?,"Excel, GraphPad Prism",10
What programs have you previously used for data analysis?,GraphPad Prism,1
What programs have you previously used for data analysis?,None,3
What programs have you previously used for data analysis?,Python,1
What programs have you previously used for data analysis?,"Python, Excel",1
What programs have you previously used for data analysis?,"Python, Excel, GraphPad Prism",2
What programs have you previously used for data analysis?,"Python, GraphPad Prism",1
What programs have you previously used for data analysis?,SAS/SAS JMP,1
What programs have you previously used for data analysis?,SPSS,1
What programs have you previously used for data analysis?,"SPSS, Excel, GraphPad Prism",2
What programs have you previously used for data analysis?,"SPSS, Excel, I mainly used R, only biefly used those with ticked box",1
What programs have you previously used for data analysis?,"SPSS, Python, Excel",1
What programs have you previously used for data analysis?,"SPSS, Stata, Excel",1
What programs have you previously used for data analysis?,"SPSS, Stata, Python, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,Stata,1
What programs have you previously used for data analysis?,"Stata, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,"Stata, GraphPad Prism",1
Do you accept the conditions laid out in the Code of Conduct?,Yes,34
What gender do you identify with?,Man,8
