course_version,questions,responses
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"As I am very much self-taught when it comes to R and programming I often have the mentality that as long at the syntax do what I wish of it, it must be perfect. This is especially true for data-wrangling, where I somehow always end up with very messy raw-data.  I hope that this course might instil upon me a more official and simpler way to go about data-analysis (especially wrangling) using R. And also give me some pointers and critique  my not-optimal way of writing syntax."
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Becoming more familiar with R, especially the functions, plus being better at using Git and make reproducible data analysis"
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"How to have a more tidy and set up reproducible codes in Markdown and how to use Github for version control, better data handling in R"
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,How to wrangle and analyse data efficiently and reproducibly
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to improve my ability to keep order and overview of my work in R. Besides that I hope to become more familiar with R markdown and reproducibility and documentation in general.
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to learn better data management practices to use for faster and more reproducible data management! And to master my canadian pronounciation of the word out.
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to learn how to conduct some basic statistical analyses in RStudio. I would like to be able to apply these skills later in the year when I have some data to work with for a big data project.
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect to learn new ways of using R and improve my systems and organization of files. Also, I hope to improve my programming skills."
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I hope to become more  confident when working within R.
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I wish to be able to write codes and create pipelines for my analysis that is more reproducible, readable, and that can be easily re-used for my future self and for my collaborators and colleagues"
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to become more confident using R and learn more about open science so I can apply these principles in my own work.
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to further develop my R skills and to become more aware of version control with Git
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to improve my R-skills and how to produce well-documented code.
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I would love to be able to save time. I am usually performing data analysis in the same way put for different cohorts or projects. Therefore, I would like to streamline everything better, make it more reproducible and get better at writing functions."
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"In the first course, I've learned the basics but I could not implement the gatherings to my own research. I hope that this course would improve my knowledge and let me to use R in analyzing my experiments and data."
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Learn RBe better at data management and cleaningBeing more reproducible in my codingLearn version control
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Learn more about how to make my data and analyses reproducible (with use of Git and Github). Last course I struggled a bit with the data import, so I look forward to this step - and in more details learn how to clean datasets."
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Learn to use R in my daily work, specially use it for data handling with main focus on Transcriptomics analysis"
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"To improve my R skills, specially regarding the annotation, planning and reporting of my code writing and modifications."
1,What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,get hands-on experience on how to work on shared projects in a smart way
1,Please describe the problems you've had.,"I already had RStudio open and must have needed to restart it, because it told me it encountered an error creating a new project. All sorted now!"
1,Please describe the problems you've had.,I could'nt complete the New project part as neither of the descriptions worked
1,Please describe the problems you've had.,"I got an promt using the prodigenr package to create a new project where it prompted me to answer no, no, yes. The only problem was that it did not tell me what I answered yes to."
