course_version,questions,responses,count
1,Do you accept the conditions laid out in the Code of Conduct?,Yes,20
1,What city do you work in or nearest to?,Aalborg,1
1,What city do you work in or nearest to?,Copenhagen,14
1,What city do you work in or nearest to?,Odense,5
1,Perceived skill/knowledge in data analysis in general?,Beginner,2
1,Perceived skill/knowledge in data analysis in general?,Beginner-Intermediate,6
1,Perceived skill/knowledge in data analysis in general?,Intermediate,11
1,Perceived skill/knowledge in data analysis in general?,Intermediate-Advanced,1
1,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner,14
1,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner-Intermediate,6
1,Perceived skill/knowledge in managing data in general?,Beginner,2
1,Perceived skill/knowledge in managing data in general?,Beginner-Intermediate,8
1,Perceived skill/knowledge in managing data in general?,Intermediate,10
1,Perceived skill/knowledge in programming in general?,Beginner,6
1,Perceived skill/knowledge in programming in general?,Beginner-Intermediate,10
1,Perceived skill/knowledge in programming in general?,Intermediate,4
1,Perceived skill/knowledge in using R?,Beginner,4
1,Perceived skill/knowledge in using R?,Beginner-Intermediate,8
1,Perceived skill/knowledge in using R?,Intermediate,6
1,Perceived skill/knowledge in using R?,Intermediate-Advanced,2
1,Perceived skill/knowledge in writing in or using R Markdown?,Beginner,8
1,Perceived skill/knowledge in writing in or using R Markdown?,Beginner-Intermediate,9
1,Perceived skill/knowledge in writing in or using R Markdown?,Intermediate,3
1,What programs have you previously used for data analysis?,Excel,1
1,What programs have you previously used for data analysis?,"Excel, Graphpad Prism",1
1,What programs have you previously used for data analysis?,"Excel, Graphpad prism, flow-jo (flow cytometry data)",1
1,What programs have you previously used for data analysis?,"Python, Excel",1
1,What programs have you previously used for data analysis?,"Python, Excel, PERL",1
1,What programs have you previously used for data analysis?,SAS,2
1,What programs have you previously used for data analysis?,"SAS, R",1
1,What programs have you previously used for data analysis?,"SAS, SPSS, Excel",1
1,What programs have you previously used for data analysis?,SPSS,2
1,What programs have you previously used for data analysis?,"SPSS, Excel",4
1,What programs have you previously used for data analysis?,"SPSS, Matlab, Excel, Graphpad prism",1
1,What programs have you previously used for data analysis?,"SPSS, Python",1
1,What programs have you previously used for data analysis?,Stata,1
1,What programs have you previously used for data analysis?,"Stata, R",1
1,What programs have you previously used for data analysis?,Very briefly SAS,1
1,What is your formal position?,PhD student,11
1,What is your formal position?,Postdoc,9
2,Do you accept the conditions laid out in the Code of Conduct?,Yes,23
2,What city do you work in or nearest to?,Aarhus,4
2,What city do you work in or nearest to?,Copenhagen,17
2,What city do you work in or nearest to?,"Lund, Sweden",1
2,What city do you work in or nearest to?,Odense,1
2,What gender do you identify with?,Man,5
2,What gender do you identify with?,Woman,18
2,Perceived skill/knowledge in data analysis in general?,Beginner,1
2,Perceived skill/knowledge in data analysis in general?,Beginner-Intermediate,11
2,Perceived skill/knowledge in data analysis in general?,Intermediate,6
2,Perceived skill/knowledge in data analysis in general?,Intermediate-Advanced,5
2,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner,18
2,Perceived skill/knowledge in formal version control (e.g. Git)?,Beginner-Intermediate,5
2,Perceived skill/knowledge in managing data in general?,Beginner,4
2,Perceived skill/knowledge in managing data in general?,Beginner-Intermediate,11
2,Perceived skill/knowledge in managing data in general?,Intermediate,4
2,Perceived skill/knowledge in managing data in general?,Intermediate-Advanced,4
2,Perceived skill/knowledge in programming in general?,Beginner,8
2,Perceived skill/knowledge in programming in general?,Beginner-Intermediate,8
2,Perceived skill/knowledge in programming in general?,Intermediate,4
2,Perceived skill/knowledge in programming in general?,Intermediate-Advanced,3
2,Perceived skill/knowledge in using R?,Beginner,2
2,Perceived skill/knowledge in using R?,Beginner-Intermediate,12
2,Perceived skill/knowledge in using R?,Intermediate,7
2,Perceived skill/knowledge in using R?,Intermediate-Advanced,2
2,Perceived skill/knowledge in writing in or using R Markdown?,Beginner,8
2,Perceived skill/knowledge in writing in or using R Markdown?,Beginner-Intermediate,9
2,Perceived skill/knowledge in writing in or using R Markdown?,Intermediate,4
2,Perceived skill/knowledge in writing in or using R Markdown?,Intermediate-Advanced,2
2,What programs have you previously used for data analysis?,Excel,6
2,What programs have you previously used for data analysis?,"Excel, Graph Pad",1
2,What programs have you previously used for data analysis?,"Excel, R",1
2,What programs have you previously used for data analysis?,"Matlab, Excel",1
2,What programs have you previously used for data analysis?,None. Previously only very little knowledge of data analysis/programming (this in STATA). So started learning data analysis properly for the first time in R.,1
2,What programs have you previously used for data analysis?,"Python, Matlab, Excel",1
