statement,response,n
I think I learned a lot from this course,Agree,4
I think I learned a lot from this course,Disagree,1
I think I learned a lot from this course,Strongly agree,19
I think the content on the website clearly communicated the concepts,Agree,5
I think the content on the website clearly communicated the concepts,Neutral,1
I think the content on the website clearly communicated the concepts,Strongly agree,18
I think the instructors clearly communicated the concepts,Agree,7
I think the instructors clearly communicated the concepts,Strongly agree,17
I think there was a good mix of learning activities that encouraged my active participation,Agree,4
I think there was a good mix of learning activities that encouraged my active participation,Strongly agree,20
I think there was good alignment between the learning activities,Agree,6
I think there was good alignment between the learning activities,Strongly agree,18
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree,7
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral,4
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree,13
"In general, I think this is a good course",Agree,2
"In general, I think this is a good course",Strongly agree,22
