questions,responses
Why do you want to attend this course?,"I am experienced in using SPSS and Excel for data analysis, but have not yet had the opportunity to work with code-based programs. I am interested in learning R, as it is widely used among researchers for creating visually appealing graphs and performing quick data analysis."
Why do you want to attend this course?,"I am using python in my daily work to generate data (by doing LCA), but I would like to be more knowledgeable in analyzing and presenting data in a good way"
Why do you want to attend this course?,I learned to use R by myself out of necessity but have never received any formal training. I would like to improve my way of working (to work cleaner).
Why do you want to attend this course?,"I need to deal with a bunch of datasets and excel is nonefficient sometimes, and it is full of repeated work."
Why do you want to attend this course?,"I want do increase mu understanding of R and version control, as well as how to document properly."
Why do you want to attend this course?,I want to  improve my use of R skills in order to be faster and more efficient when analyzing my experimental results.
Why do you want to attend this course?,"I want to attend this course to be able to learn R from the basics but also to learn how to create good quality figures, to organise my data, and to be able to share a reproducible code from my projects."
Why do you want to attend this course?,I want to develop skills in data analysis and visualization and I believe that this course is the best place to start.
Why do you want to attend this course?,I want to formally learn about the basics in R
Why do you want to attend this course?,"I want to get better understanding of how to use R for data analysis and data presentation purposes, to facilitate the work"
Why do you want to attend this course?,"I want to improve my R skills and learn tools to write clear, organized, and reproducible code."
Why do you want to attend this course?,I want to improve my knowledge of R and expand my toolbox for data analysis.
Why do you want to attend this course?,I want to learn how to properly use R for data analysis
Why do you want to attend this course?,I want to learn more about R and feel comfortable using it in my analysis
Why do you want to attend this course?,"I want to learn the basics of programming with R so that I can develop good habits from the beginning in order to have organized, reproducible codes and collaborative and efficient work methods."
Why do you want to attend this course?,"I want to learn, increase, and update my knowledge to interpret biological data usingcomputational analysis such as R. I want to expand my computational toolbox to tackle complex data sets involving microbiome data sets to help me succeed in my PhD projects."
Why do you want to attend this course?,"I want to refresh my previous knowledge in R, get confidence working with git and learn how to do data analysis in a structured way (for my master thesis project and all my future projects)"
Why do you want to attend this course?,I will like to attend the course to learn a bit more the basics so I can apply it on my researchr
Why do you want to attend this course?,I would like to be more proficient in using R and doing reproducible research as well as learning to manage better my projects and their different versions.
Why do you want to attend this course?,I would like to learn how to organise data using the power of R
Why do you want to attend this course?,I'm attending the course because I've always wanted to learn a little bit more about R/Rstudio but I never had enough time to study in depth
Why do you want to attend this course?,"Improve my coding skills in R, since I need R language a lot in my research."
Why do you want to attend this course?,"Just starting the Ph.D., best time to start coding politely and in a reproducible manner!"
Why do you want to attend this course?,Learn about R since I have been told that it is more flexible compared to SPSS
Why do you want to attend this course?,Learn how to use R
Why do you want to attend this course?,Learn more about reproducible data analysis and how to work with R
Why do you want to attend this course?,Learn version control
Why do you want to attend this course?,"My work is developing towards analyzing larger amounts of data and handling larger analysis outputs, and I experience a need to use systematic and automated strategies, like scripts, to handle this (rather than manual handling, which has been ok for single files or smaller outputs). Although we have collaborators developing analysis tools for us, being able to do basic things on my own would be beneficial."
Why do you want to attend this course?,Our primary group bioinformatician has left the group and there are too many tasks for the remaining ones to deal with. I would like to be able to run established pipelines and perform basic analysis following the instructions left by the former postdoc.
Why do you want to attend this course?,To become more familiar with R and being able to produce code that my colleagues could reuse/complement/...
Why do you want to attend this course?,To begin to understand the tools available for data analysis and learn how to apply it for my work in the future.
Why do you want to attend this course?,To better understand and more effectively use Git and version control.
Why do you want to attend this course?,To help me analyze and present data of in-situ sequencing
Why do you want to attend this course?,To improve my knowledge in data analysis in science.
Why do you want to attend this course?,"To improve my knowledge of R and through that be able to analyze high-througput data in a reproducible way to pass the current standards, and in this way improve my research."
Why do you want to attend this course?,To learn a better method for data analysis and statistical approaches.
Why do you want to attend this course?,To learn a new skill
Why do you want to attend this course?,"To learn more about R, reproducible research and how to manage large datasets in a smart and structured way"
Why do you want to attend this course?,To learn the basics in R programming
Why do you want to attend this course?,To learn the basics of working in R/start learning how to do data analyses in R.
Why do you want to attend this course?,"Want to develop ""proper"" workflow for data analysis, including using Git"
Why do you want to attend this course?,learn new skills
Why do you want to attend this course?,learn the good practice to ensure reproducibility
"In your opinion, what worked well?",After a couple of problems in the beginning I managed to install everything
"In your opinion, what worked well?",Clear and easy to follow instructions!
"In your opinion, what worked well?",Clear instructions and good material for reading and becoming a little bit more clued up on what we'll be using.
"In your opinion, what worked well?",Clear outline of the tasks and I like the side menus that gives you an overview of the page content (at different levels). Great with images and videos showing particular steps.
"In your opinion, what worked well?",Descriptions and instructions are well designed and clear. They really help to carry out tasks and trigger curiosity for the further learning.
"In your opinion, what worked well?",Easy to follow the instructions
"In your opinion, what worked well?",Everything is very nicely structured
"In your opinion, what worked well?","Everything is well explained with some videos, then we can do the pre-course task without any problem."
"In your opinion, what worked well?","Everything, I found the tasks very well organized and clearly explained with enough theory and background as well as practical parts"
"In your opinion, what worked well?",Good introduction to the course. I like the fact that one needed to download everything before the course start.
"In your opinion, what worked well?",How to download the necessary packages was clearly explained and easy to follow.
"In your opinion, what worked well?",I installed everything quite smoothly
"In your opinion, what worked well?",I really think it is perfect!
"In your opinion, what worked well?",I think everything was well organized and clearly stated what to do.
"In your opinion, what worked well?",I think everything worked well. I have no complaints.
"In your opinion, what worked well?",I think it is a really good thing to send the material in advance so people can have a first look and prepare themselves.
"In your opinion, what worked well?","I think it was pretty straightforward, though I already had R, RStudio and Git installed, so the parts most liable to go wrong were ones I didn't have issues with. I think it was useful to include the requirement to do some pre-reading on Git - it's a complicated subject, and worth looking over multiple times."
"In your opinion, what worked well?","I think the material provided was clear, thorough, and easy to read."
"In your opinion, what worked well?",Installation of the programs went smoothly.
"In your opinion, what worked well?","It overall worked well, I had to upgrade some stuff like my R and RStudio which took some time but it's good now."
"In your opinion, what worked well?",It worked well
"In your opinion, what worked well?",It worked well to install and doing preparatory tasks from the information given in the material.
"In your opinion, what worked well?","Lovely to have a course that starts with pre-assignments on time! Clear webpage structure, easily understood tasks."
"In your opinion, what worked well?",Most of it worked smoothly for me since I already had most of the programs installed and a GitHub profile already set up.
"In your opinion, what worked well?","The installation of most programs went smooth (private computer), detailed manual of pre-corse tasks"
"In your opinion, what worked well?",The instructions to set up R and Rstudio were clear and easy to follow.
"In your opinion, what worked well?",The instructions were easy to follow
"In your opinion, what worked well?",The material itself is interesting
"In your opinion, what worked well?",The material so far is easy to read.
"In your opinion, what worked well?",The material was very clear and easy to follow.
"In your opinion, what worked well?",The pre-course task guide was very well explained. I learned some basic concepts and it also saves a lot of time to install all we need before the course.
"In your opinion, what worked well?",The step-by-step instructions are good.
"In your opinion, what worked well?",The tasks are clear and well structured.
"In your opinion, what worked well?",The videos showing how to install the packages. The interface of the website.
"In your opinion, what worked well?","The well-structured tutorial, the interesting introduction, and the clear description for the software and their functions!"
"In your opinion, what worked well?",There is clear expalnation and pictures
"In your opinion, what worked well?",There's a lot of information and steps are easy to follow.
"In your opinion, what worked well?","To be truthfull, that was the most comprehensive instructions I have ever received for a course or similar event. Instructions were clear, especially with examples and additional explanations."
"In your opinion, what worked well?","Very simple explanations about everything such as ""what is R and R studio"" helped me to diminish my fears about this ""almost completely new area"". I really felt that I am in the correct place to learn something decently. The Internet is an unlimited source to learn any information but you need to be wise enough to choose the right information to learn. The syllabus told me that I can fully trust on this course."
"In your opinion, what worked well?",Very well described
"In your opinion, what worked well?",easy to follow along
"In your opinion, what worked well?",text explanations supported by figures and videos
"In your opinion, what worked well?",the description is clear and understandable
"In your opinion, what could be improved?",-
"In your opinion, what could be improved?",-
"In your opinion, what could be improved?",/
"In your opinion, what could be improved?",A bit more clear instructions on what you need and some tips for Mac users which are often blocked (or partly blocked) from installing certain packages
"In your opinion, what could be improved?",All seems fine to me so far.
"In your opinion, what could be improved?",Cannot think of anything at the moment.
"In your opinion, what could be improved?",Everything till now looks fine
"In your opinion, what could be improved?",Everything was quite clear
"In your opinion, what could be improved?","For me, everything is perfect until now."
"In your opinion, what could be improved?","For now, I don't have any suggestions."
"In your opinion, what could be improved?","Hard to say, I'm happy with the current form."
"In your opinion, what could be improved?",I did not think about something to change.
"In your opinion, what could be improved?","I do not think this part of the course requires improvement. I did struggle with some installations (in R, of packages ""cli"" and ""purrrr""), but as soon as I installed from binary instead of source it worked, I would have liked to see a warning that this could happen."
"In your opinion, what could be improved?",I don't have any overall criticism because I think the tutorial was very good. More specifically I got an error when installing the r3 package:Error:                                                                           ! error in pak subprocessCaused by error: ! Cannot install packages:* r3: Can't find package called r3.that might become a problem(?)
"In your opinion, what could be improved?","I guess... maybe the sequence of the content? For example, maybe I need to read Section 4.3 after Section 3.8, rather than before, because I can't check configurations before I set up them...? And when I read Section 3.8 for the first time, there is no Git tab in my Panel C, so I stopped to find a solution to it... Actually, it will appear after creating a project, but this content is at the end of Section 4.3..."
"In your opinion, what could be improved?",I had a problem with this commend:> r3::install_packages_introduction()✔ Updated metadata database: 5.07 MB in 12 files.                               ✔ Updating metadata database ... done                                           Error:                                                                           ! error in pak subprocessCaused by error: ! Cannot install packages:* r3: Can't find package called r3.
"In your opinion, what could be improved?","I have nothing negative to say. However, just as a heads-up, the Rtools (provided link) version wasn't compatibile with new R version."
"In your opinion, what could be improved?",I might will have like some videos in some of the starting parts
"In your opinion, what could be improved?",I think everything worked well. I have no complaints.
"In your opinion, what could be improved?",I think pre-course tasks were easy and straight-forward. No improvement suggestions.
"In your opinion, what could be improved?",I thought it was quite well made.
"In your opinion, what could be improved?",I was happy with the current pre-course material.
"In your opinion, what could be improved?","In Section 4.3 of the pre-reading (Basics of Git), reference is made to a LearningR R project, which should include files. It was unclear to me whether these files had been made available to us or not."
"In your opinion, what could be improved?",In my particular case the following line of code throw me an error --->r3::install_packages_introduction().  This was the error:ℹ Building purrr 1.0.1Error:        ! error in pak subprocessCaused by error: ! Could not find tools necessary to compile a packageCall `pkgbuild::check_build_tools(debug = TRUE)` to diagnose the problem.ℹ See `$stderr` for standard error.
"In your opinion, what could be improved?",It worked great for me the way it is.
"In your opinion, what could be improved?","It would be good to have more of a walkthrough for the installations and not just links to the websites. Especially during the Git installation there were a lot of different options that one had to go through, and more detailed instructions as to which options would be best for the course were missing. Also, I ran into problems when installing the R3 course package, but was very easily able to solve it (it was probably due to me having had it installed already), so maybe a list of possible errors and easy fixes might be helpful."
"In your opinion, what could be improved?","It would be useful to have more screenshots of the steps when setting Git in RStudio. For example, I cannot find the Git tab in my RStudio and I thought that would create an error when installing the package remotes."
"In your opinion, what could be improved?",Maybe just a short welcome video as compliment to the material.
"In your opinion, what could be improved?",No idea
"In your opinion, what could be improved?",Nothing it comes to my mind.
"In your opinion, what could be improved?",Nothing that I can think of right now that would significantly improve things. It worked well as it is for me.
"In your opinion, what could be improved?",Nothing to add
"In your opinion, what could be improved?",Overall I really think that this system is working well.
"In your opinion, what could be improved?","Perhaps more videos, but I think the material is already good."
"In your opinion, what could be improved?",Possibly explaining common error messages that could appear when installing packages and github
"In your opinion, what could be improved?",Send out the pre-course tasks in good time before Christmas holiday (since the tasks take a while to complete)
"In your opinion, what could be improved?","Some linkes were missing (e.g. the one to the cheat-sheet"" and the internal chapter reference at the end of 3.6:?sec-reproducible-documents.)"
"In your opinion, what could be improved?","The ""Pre-course tasks"" could be structured a bit more clearly. Now I started googling and installing the programs on my own, since the tasks started with ""install these programs"" and it was only later that I realised there were direct links to the sites I needed."
"In your opinion, what could be improved?","The amount of reading required, in addition to the software installation, can be overwhelming. It is easy to get sidetracked during the installation process and lose focus on the task at hand. To alleviate this, I would appreciate a section with clear, step-by-step instructions on how to install all of the necessary software for the course. Once that is complete, the explanations and readings can be reviewed."
"In your opinion, what could be improved?",The use of a video instead of the text might be a timesaver.
"In your opinion, what could be improved?","Timing of the course: would have been better if it doesn't fall immediately after holidays. Also, and taking into consideration some need to travel for the course, it would have been more convenient if it starts on Tuesday of the week."
"In your opinion, what could be improved?","To avoid the temptation to skip sections, could have you move through the sections one page at a time"
"In your opinion, what could be improved?","it would be nice if the pre-course tasks for example, could be put in ordered numbers instead of trying to find the tasks embedded in the text"
Please describe the problems you've had.,"As previously mentioned, I got an error when installing the r3 package:Error:                                                                           ! error in pak subprocessCaused by error: ! Cannot install packages:* r3: Can't find package called r3."
Please describe the problems you've had.,"Error while installing the remotes package (provided version of Rtools (35) not complient), the following installations seemed to work though."
Please describe the problems you've had.,"I am not sure if I managed to install quarto properly and I am not sure on how to check that. On the other end, I encountered an error message when trying the command : ""> r3::install_packages_introduction()"" and I don't know why.Error:""✖ Failed to build Matrix 1.5-3                                        Error:                                                                ! error in pak subprocessCaused by error in `stop_task_build(state, worker)`:! Failed to build source package 'Matrix'"""
Please describe the problems you've had.,I cannot do the setup of r3 it is not install and then I have tried and says is not compatible with my R studio
Please describe the problems you've had.,"I don't know if this will be a problem or not, but I don't see the Git tab from panel C in RStudio. Although I am not familiar with Git, there was something mentioned during installation and from what I read on different forums, that it could be integrated with Terminal tab near the Console?"
Please describe the problems you've had.,"I got to errors here pasted:(1)> r3::install_packages_introduction()✔ Updated metadata database: 5.07 MB in 12 files.                               ✔ Updating metadata database ... done                                           Error:                                                                           ! error in pak subprocessCaused by error: ! Cannot install packages:* r3: Can't find package called r3.(2)> quarto::quarto_render(""hello.qmd"")ERROR: No valid input files passed to renderError in `processx::run(quarto_bin, args, echo = TRUE)`:! System command 'quarto' failed---Exit status: 1stdout & stderr: <printed>---Type .Last.error to see the more details.(But I can knit it by pressing the button ""Render"". It is just through the console that it doesn't work.)"
Please describe the problems you've had.,"I have no idea what to download from the Git-homepage, or what to do with it once it's downloaded. Should I install both homebrew and MacPorts or only one of them?"
Please describe the problems you've had.,"I tried to run ""r3::install_packages_introduction()"" after installing R3 but there's an error showing it can't find the package called r3"
Please describe the problems you've had.,"I was unable to download Xcode and the binary thing, but after clearing 30GB of my storage space on my laptop and with the help of the website and chatGPT I managed to install everything accordingly"
Please describe the problems you've had.,It says that I have the wrong version of Rtools installed but I just followed your link
Please describe the problems you've had.,"Minor problems when getting familiar with RStudio and installing R packages. In RStudio I'm missing the Git-tab in panel C. Relying on the statement that ""There can be slight differences in your layout of tabs in each panel"" I hope this will not be a problem. The process of installing remotes did not look as in the instruction video when I did it. However, as the following steps seemed to work out fine I assume it's ok."
Please describe the problems you've had.,Please see the possible improvement before... But I'm not sure if this is a common problem...
Please describe the problems you've had.,"The Rtools3.5 on the website did not work for me, I got the message saying I need to install the latest version Rtools4.2.The outputs when installing remotes and then github don't look the same as in the videos for me. I get a message saying ""lib is unspecified"" when installing remotes. I don't think this is an issue but it might be good to say something about this type of message."
Please describe the problems you've had.,"When installing r3, packages ""cli"" and ""purrr"" could not be installed from source, binaries were installed instead. I do not think I need further assistance, just my ""cli"" version is 3.5 instead of 3.6 and ""purrr"" is 1.0.0 instead of 1.0.1...I will try to fix it on my own, but can get there early the first day if needed"
Please describe the problems you've had.,"When installing the package remotes the output message was in red font and that made me think there was an error. However, I think it work well. Please check the output below. > install.packages(""remotes"")trying URL 'https://cran.rstudio.com/bin/macosx/big-sur-arm64/contrib/4.2/remotes_2.4.2.tgz'Content type 'application/x-gzip' length 395161 bytes (385 KB)==================================================downloaded 385 KBThe downloaded binary packages are in	/var/folders/hn/f8c5hyz90b5gfm6730p5r2mw0000gq/T//RtmpuYa46N/downloaded_packages> library(remotes)"
Please describe the problems you've had.,"When running r3::install_packages_introduction()ℹ Building purrr 1.0.1Error:        ! error in pak subprocessCaused by error: ! Could not find tools necessary to compile a packageCall `pkgbuild::check_build_tools(debug = TRUE)` to diagnose the problem.ℹ See `$stderr` for standard error.Also, after installing the new version of Rstudio this message appear every time I start a new session. Despite the message, R  work perfectly ( as it normally does). Error in file.exists(pythonPath) :   file name conversion problem -- name too long?"
Please describe the problems you've had.,r3::setup_git_config()
What do you expect to learn and what would you like to be able to do with what you've learned?,Basic knowledge and performing analyses
What do you expect to learn and what would you like to be able to do with what you've learned?,Being able to potentially identify certain cell types based on analyzing hundreds of gene expressions.
What do you expect to learn and what would you like to be able to do with what you've learned?,"Better coding in R, version management. I think that after this course I will be better at handling large research projects that require different stages of analysis."
What do you expect to learn and what would you like to be able to do with what you've learned?,How to use R and how to collaborate with others using current tools and methods
What do you expect to learn and what would you like to be able to do with what you've learned?,How to use R and to be able to use that as my primary analysis program.
What do you expect to learn and what would you like to be able to do with what you've learned?,"How to work with my data in R, how to visualize my data and how to keep track of the changes I introduce"
What do you expect to learn and what would you like to be able to do with what you've learned?,I do not have a specific task in mind that I aim to accomplish. My objective is to try and learn a new skill and see how that be incorporated in the research I do as a way of expanding my research scope.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to be fluent in R and Git after the course. I am processing many breast cancer samples and mainly working in the lab so I would like to be able to handle the data produced from my experiments in an organised, reproducible, and non-biased way."
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to get an introduction in working with R, basics in how to analyze my data and how to visualize it in a good way. I also expect to learn about reproducibility and to learn a bit about Git as a version control. After the course I want to have a good basic understanding of how to work in R, which I can then continue to develop."
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn how to better use Git when working on projects. I would like to make my research methods as easily-reproducible as possible.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn how to code efficiently, in an understandable manner, and manage my version of R scripts. I use already Github but mostly with the ""Github Desktop"" for my other projects (LaTeX, python, html, ...) but it seems we will use it differently here with R."
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn how to use R and couple what I am doing to GitHub and why
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn how to use R and its packages for data organization, filtering and analysis. I would like to use these skills in my work with clinical and transcriptomic data."
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn how to use R properly then I can analyzed the results I obtained after omic approaches.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn more about the advantages of using tools such as git version control, r markdown, and packages such as tidyverse. I would also like to learn more about available tools for data visualization. I planned to use this knowledge to write more understandable code for me and for my colleagues."
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn more about the best practise of how to document my dat analysis and how to use Git.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I expect to learn the skills listed below:- Basic knowledge of R to be able to do basic data analysis- A better understanding of the overall functioning of R, R studio, Git and GitHub - Learn how to work collaboratively on codeI need this knowledge because I will need to analyze data with R in the next few weeks and this is a task that I might have to share with other people so I think this course will be very useful and give me the tools to finalize my learning of R independently."
What do you expect to learn and what would you like to be able to do with what you've learned?,I expect to learn tools and patterns in order to write my own reproducible R scripts and how to avoid creating sloppy commands. Understanding the grammar of ggplot2 is a big plus.
What do you expect to learn and what would you like to be able to do with what you've learned?,I hope I can better use code do the data preparation and analysis and output the results in a more academic way for publication.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I want to learn how to make the most of R tool, so I can implement its statistical power and also create quality figures for future publications."
What do you expect to learn and what would you like to be able to do with what you've learned?,I want to learn more about R language and Rstudio to understand how to use them to analyze and present my data.
What do you expect to learn and what would you like to be able to do with what you've learned?,I will like to learn a bit more how can I apply statistics and my data and understand why I am using those statistics
What do you expect to learn and what would you like to be able to do with what you've learned?,I would like to be able to use R to organise my data better and make my research more reproducible
What do you expect to learn and what would you like to be able to do with what you've learned?,"I would like to be smoother when programming and organize my code better. Also, by applying the knowledge in real datasets, i would like to get a perspective on how data can be analyzed."
What do you expect to learn and what would you like to be able to do with what you've learned?,I would like to become comfortable in R studio and become familiar with using GitHub and other open sources. To learn how this can be used for collaborative efforts.
What do you expect to learn and what would you like to be able to do with what you've learned?,I would like to become more secure with my usage of R and learn about new packages and methods to use and apply to my data.
What do you expect to learn and what would you like to be able to do with what you've learned?,I would like to get more comfortable programming and be able to do my data analysis for my project in a more time efficient manner.
What do you expect to learn and what would you like to be able to do with what you've learned?,I would like to learn how to use R software for my professional work as well as my research. 
What do you expect to learn and what would you like to be able to do with what you've learned?,I would like to learn more about how to analyze my data in an effective and reproducible way.
What do you expect to learn and what would you like to be able to do with what you've learned?,I would like to learn to have more order with my code and this way reduce variability in the way I do stuff. This way I would be able to reproduce stuff I do later easier.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I would like to learn what R can be used for and how to choose the right tools for my analyses, and how to make sure that me or my collegues will be able to use it after some time in a right way (being able to track every step of the analysis). I would also like to improve the speed of my analysis, which currently mainly involves CellProfiles, Excel and GraphPad, possibly by exchanging the latter two (or at least Excel) with R."
What do you expect to learn and what would you like to be able to do with what you've learned?,I would like to utilize R to analyze multidimensional data.
What do you expect to learn and what would you like to be able to do with what you've learned?,"I'm hoping to learn some basics in modern programming (or fresh up the minor and ancient knowledge I have), and to learn the basics in using R and RStudio. Having learnt that I hope to be able to use these tools to do basic analysis such as sorting and extracting information from the output files I get from the analysis tools already in place in our group. Hopefully my new knowledge will also give me a better understanding of the analysis tools we are using."
What do you expect to learn and what would you like to be able to do with what you've learned?,"Improve my overall foundation in R language, particularly utilisation of tidyverse packages and version control with Git. Tidyverse packages including ggplot2 would be especially useful for data visualisation in my own research."
What do you expect to learn and what would you like to be able to do with what you've learned?,"Initially, I expect to learn R to use my simple data sets to be presented in scientific papers as visual data (graphs) and to run PCA. Meanwhile, I want to see if like programming for data science or not. If so, I want to drive my personal interest in this area a bit more to make it a piece of my professional life."
What do you expect to learn and what would you like to be able to do with what you've learned?,Introduction to R and its usage in research
What do you expect to learn and what would you like to be able to do with what you've learned?,"Learn how to write reproducible code workflows and structures that make mine and others' life easier. Get to know tools/packages that I can use during my PhD to produce results and for data visualization. Learn how to organize code, documents, that facilitate working within a team."
What do you expect to learn and what would you like to be able to do with what you've learned?,More effectively use R syntax so I can actually implement the data analysis instructions left by the former lab bioinformatician
What do you expect to learn and what would you like to be able to do with what you've learned?,To understand how to use R and to be able to work with my data in it
What do you expect to learn and what would you like to be able to do with what you've learned?,"Understanding ""proper"" workflow for data analysis, including how to use Git and GitHub"
