questions,responses,count
What is your formal position?,Bibliometric Analyst,1
What is your formal position?,Masters student,4
What is your formal position?,PhD student,26
What is your formal position?,Postdoc,6
What is your formal position?,Researcher,6
What city do you work in or near?,Gothenburg,31
What city do you work in or near?,Stockholm,9
What city do you work in or near?,Uppsala,3
How do you perceive your skill/knowledge of [using R?],Beginner,26
How do you perceive your skill/knowledge of [using R?],Beginner-Intermediate,10
How do you perceive your skill/knowledge of [using R?],Intermediate,5
How do you perceive your skill/knowledge of [using R?],Intermediate-Advanced,2
What programs have you previously used for data analysis?,Excel,11
What programs have you previously used for data analysis?,"Excel, GraphPad Prism",7
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, Bowtie2, Samtools, Bedtools, HOMER, MACS2, etc.",1
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, Origin",1
What programs have you previously used for data analysis?,"Excel, MATLAB, Python, R",1
What programs have you previously used for data analysis?,"Excel, Origin",2
What programs have you previously used for data analysis?,"Excel, Python",2
What programs have you previously used for data analysis?,"Excel, R",1
What programs have you previously used for data analysis?,"Excel, SigmaPlot, GraphPad Prism, Origin, ImageJ Fiji",1
What programs have you previously used for data analysis?,"Excel, python, R, other application-based softwares",1
What programs have you previously used for data analysis?,GraphPad Prism,1
What programs have you previously used for data analysis?,None,1
What programs have you previously used for data analysis?,"Python, R",1
What programs have you previously used for data analysis?,"SAS/SAS JMP, SPSS, Excel",2
What programs have you previously used for data analysis?,SPSS,3
What programs have you previously used for data analysis?,"SPSS, Excel",2
What programs have you previously used for data analysis?,"SPSS, Excel, GraphPad Prism",2
What programs have you previously used for data analysis?,"SPSS, Excel, R",1
What programs have you previously used for data analysis?,"SPSS, Stata, Excel",1
What programs have you previously used for data analysis?,"SPSS, Stata, Excel, Python, R",1
Do you accept the conditions laid out in the Code of Conduct?,Yes,43
How do you perceive your skill/knowledge of [data analysis in general?],Beginner,15
How do you perceive your skill/knowledge of [data analysis in general?],Beginner-Intermediate,13
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate,12
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate-Advanced,3
How do you perceive your skill/knowledge of [programming in general?],Beginner,23
How do you perceive your skill/knowledge of [programming in general?],Beginner-Intermediate,12
How do you perceive your skill/knowledge of [programming in general?],Intermediate,7
How do you perceive your skill/knowledge of [programming in general?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner,36
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner-Intermediate,4
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Intermediate,3
What gender do you identify with?,Man,11
What gender do you identify with?,Prefer not to say,2
What gender do you identify with?,Woman,30
