session_name,question,response,course_name
Day 2,worked well for the Data management and wrangling,Great presentation. Easy to understand. Code-alongs work really well.,NA
Day 2,could be improved for the Data management and wrangling,Nothing :),NA
Day 2,worked well for the Creating reproducible documents,Code alongs and the stickers :),NA
Day 2,could be improved for the Creating reproducible documents,Nothing,NA
Day 2,worked well for the second day's Social/Networking activity,:),NA
Day 2,could be improved for the second day's Social/Networking activity,Nothing:),NA
Day 2,worked well for the Data management and wrangling,The code-along,NA
Day 2,could be improved for the Data management and wrangling,Tempo was a little high for the individual execises,NA
Day 2,worked well for the Creating reproducible documents,Clear and consise instruction,NA
Day 2,could be improved for the Creating reproducible documents,Don't know!,NA
Day 2,worked well for the second day's Social/Networking activity,Haven't done it yet :),NA
Day 2,could be improved for the second day's Social/Networking activity,See above,NA
Day 2,worked well for the Data management and wrangling,It was great to have a code along session so you could practice.,NA
Day 2,could be improved for the Data management and wrangling,"I would like to have the piping operator introduced sooner, as it in my opinion makes it so much easier to code",NA
Day 2,worked well for the Creating reproducible documents,It was nice to learn Quarto from a really basic point,NA
Day 2,could be improved for the Creating reproducible documents,"A little too little time (which is to be expected). I don't know if it's coming up, but I would like to learn to refer to objects/code in R (for manuscript writing purposes). Might not be relevant for this course",NA
Day 2,worked well for the Data management and wrangling,Everything worked well,NA
Day 2,could be improved for the Data management and wrangling,Not much,NA
Day 2,worked well for the Creating reproducible documents,Explained well,NA
Day 2,could be improved for the Creating reproducible documents,could do a bit more hands on,NA
Day 2,worked well for the second day's Social/Networking activity,Did not have time for it,NA
Day 2,could be improved for the second day's Social/Networking activity,nothing,NA
Day 2,worked well for the Data management and wrangling,A lot of hands on with working in R for ourselves,NA
Day 2,could be improved for the Data management and wrangling,There was a lot of waste time when one person had an issue.,NA
Day 2,worked well for the Creating reproducible documents,Look above,NA
Day 2,could be improved for the Creating reproducible documents,Look above,NA
Day 2,worked well for the second day's Social/Networking activity,Look above,NA
Day 2,could be improved for the second day's Social/Networking activity,Look above,NA
Day 2,worked well for the Data management and wrangling,dplyr is wonderfull,NA
Day 2,could be improved for the Data management and wrangling,more pipes,NA
Day 2,worked well for the Creating reproducible documents,Quattro is wonderfull,NA
Day 2,could be improved for the Creating reproducible documents,more commits,NA
Day 2,worked well for the second day's Social/Networking activity,I will let you know in tomorrow's evaluation.,NA
Day 2,could be improved for the second day's Social/Networking activity,I will let you know in tomorrow's evaluation.,NA
Day 2,worked well for the Data management and wrangling,I think everything worked really well.,NA
Day 2,could be improved for the Data management and wrangling,Nothing I can think of.,NA
Day 2,worked well for the Creating reproducible documents,I think everything worked really well.,NA
Day 2,could be improved for the Creating reproducible documents,Nothing I can think of.,NA
Day 2,worked well for the second day's Social/Networking activity,"We haven't done it yet, so I can't tell you. I'm sure it's lovely.",NA
Day 2,could be improved for the second day's Social/Networking activity,"Well, if I knew I'd tell you - but I can't tell you yet.",NA
Day 2,worked well for the Data management and wrangling,The pace of the lecture and help worked well.,NA
Day 2,could be improved for the Data management and wrangling,Nothing,NA
Day 2,worked well for the Creating reproducible documents,The pace of the lecture and help worked well.,NA
Day 2,worked well for the second day's Social/Networking activity,Nothing,NA
Day 2,could be improved for the second day's Social/Networking activity,Nothing,NA
Day 1,worked well for the Management of R projects,Great with a basic introduction to thinking a bit differently than previously,NA
Day 1,worked well for the Version control and collaborative practices,"It was nice to get help setting up Git and GitHub, as it could lead to a lot of problems",NA
