course_version,questions,responses
2,Please describe the problems you've had.,"I am not able to download the newest version of R on my workplace computer. I have contacted the IT department of the Capital Region, where I am working. They will not allow a newer version of R at this moment."
2,Please describe the problems you've had.,"I can only update the Rstudio to 1.2.5001 (the latest available version in software shop), but once I close it and open it again it returns to the previously installed version and r3 commands give an error. I have re-installed it but the problem was not solved, I am contacting work helpdesk."
2,Please describe the problems you've had.,I could not make the first commands because I did not have Rtools.
2,Please describe the problems you've had.,I didn't get the same sort of response from my commands to install packages etc. so thought that they hadn't installed correctly.
2,Please describe the problems you've had.,I got many error comments while tried to instal the remotes package
2,Please describe the problems you've had.,"I had a lot of read text in the R programme when running the codes, but I believe that the packages were succesfully installed at last as it said:package ‘prodigenr’ successfully unpacked and MD5 sums checkedpackage ‘rstudioapi’ successfully unpacked and MD5 sums checkedpackage ‘rversions’ successfully unpacked and MD5 sums checkedpackage ‘tidyverse’ successfully unpacked and MD5 sums checkedpackage ‘usethis’ successfully unpacked and MD5 sums checkedpackage ‘stringr’ successfully unpacked and MD5 sums checkedpackage ‘git2r’ successfully unpacked and MD5 sums checkedpackage ‘NHANES’ successfully unpacked and MD5 sums checkedpackage ‘rmarkdown’ successfully unpacked and MD5 sums checkedpackage ‘knitr’ successfully unpacked and MD5 sums checkedpackage ‘crayon’ successfully unpacked and MD5 sums checkedpackage ‘Rcpp’ successfully unpacked and MD5 sums checkedpackage ‘yaml’ successfully unpacked and MD5 sums checkedpackage ‘htmltools’ successfully unpacked and MD5 sums checkedpackage ‘evaluate’ successfully unpacked and MD5 sums checkedpackage ‘base64enc’ successfully unpacked and MD5 sums checkedpackage ‘jsonlite’ successfully unpacked and MD5 sums checkedpackage ‘mime’ successfully unpacked and MD5 sums checkedpackage ‘tinytex’ successfully unpacked and MD5 sums checkedpackage ‘xfun’ successfully unpacked and MD5 sums checkedpackage ‘digest’ successfully unpacked and MD5 sums checkedpackage ‘rlang’ successfully unpacked and MD5 sums checkedpackage ‘highr’ successfully unpacked and MD5 sums checkedpackage ‘markdown’ successfully unpacked and MD5 sums checkedpackage ‘glue’ successfully unpacked and MD5 sums checkedpackage ‘magrittr’ successfully unpacked and MD5 sums checkedpackage ‘stringi’ successfully unpacked and MD5 sums checkedpackage ‘backports’ successfully unpacked and MD5 sums checkedpackage ‘clipr’ successfully unpacked and MD5 sums checkedpackage ‘clisymbols’ successfully unpacked and MD5 sums checkedpackage ‘curl’ successfully unpacked and MD5 sums checkedpackage ‘desc’ successfully unpacked and MD5 sums checkedpackage ‘fs’ successfully unpacked and MD5 sums checkedpackage ‘gh’ successfully unpacked and MD5 sums checkedpackage ‘purrr’ successfully unpacked and MD5 sums checkedpackage ‘rprojroot’ successfully unpacked and MD5 sums checkedpackage ‘whisker’ successfully unpacked and MD5 sums checkedpackage ‘withr’ successfully unpacked and MD5 sums checkedpackage ‘assertthat’ successfully unpacked and MD5 sums checkedpackage ‘R6’ successfully unpacked and MD5 sums checkedpackage ‘cli’ successfully unpacked and MD5 sums checkedpackage ‘ini’ successfully unpacked and MD5 sums checkedpackage ‘httr’ successfully unpacked and MD5 sums checkedpackage ‘fansi’ successfully unpacked and MD5 sums checkedpackage ‘openssl’ successfully unpacked and MD5 sums checkedpackage ‘askpass’ successfully unpacked and MD5 sums checkedpackage ‘sys’ successfully unpacked and MD5 sums checkedpackage ‘dplyr’ successfully unpacked and MD5 sums checkedpackage ‘generics’ successfully unpacked and MD5 sums checkedpackage ‘reshape2’ successfully unpacked and MD5 sums checkedpackage ‘tibble’ successfully unpacked and MD5 sums checkedpackage ‘tidyr’ successfully unpacked and MD5 sums checkedpackage ‘ellipsis’ successfully unpacked and MD5 sums checkedpackage ‘pkgconfig’ successfully unpacked and MD5 sums checkedpackage ‘tidyselect’ successfully unpacked and MD5 sums checkedpackage ‘BH’ successfully unpacked and MD5 sums checkedpackage ‘plogr’ successfully unpacked and MD5 sums checkedpackage ‘plyr’ successfully unpacked and MD5 sums checkedpackage ‘pillar’ successfully unpacked and MD5 sums checkedpackage ‘vctrs’ successfully unpacked and MD5 sums checkedpackage ‘lifecycle’ successfully unpacked and MD5 sums checkedpackage ‘utf8’ successfully unpacked and MD5 sums checkedpackage ‘DBI’ successfully unpacked and MD5 sums checkedpackage ‘gtable’ successfully unpacked and MD5 sums checkedpackage ‘lazyeval’ successfully unpacked and MD5 sums checkedpackage ‘scales’ successfully unpacked and MD5 sums checkedpackage ‘viridisLite’ successfully unpacked and MD5 sums checkedpackage ‘farver’ successfully unpacked and MD5 sums checkedpackage ‘labeling’ successfully unpacked and MD5 sums checkedpackage ‘munsell’ successfully unpacked and MD5 sums checkedpackage ‘RColorBrewer’ successfully unpacked and MD5 sums checkedpackage ‘colorspace’ successfully unpacked and MD5 sums checkedpackage ‘forcats’ successfully unpacked and MD5 sums checkedpackage ‘hms’ successfully unpacked and MD5 sums checkedpackage ‘readr’ successfully unpacked and MD5 sums checkedpackage ‘broom’ successfully unpacked and MD5 sums checkedpackage ‘cellranger’ successfully unpacked and MD5 sums checkedpackage ‘progress’ successfully unpacked and MD5 sums checkedpackage ‘rematch’ successfully unpacked and MD5 sums checkedpackage ‘prettyunits’ successfully unpacked and MD5 sums checkedpackage ‘callr’ successfully unpacked and MD5 sums checkedpackage ‘processx’ successfully unpacked and MD5 sums checkedpackage ‘ps’ successfully unpacked and MD5 sums checkedpackage ‘xml2’ successfully unpacked and MD5 sums checkedpackage ‘selectr’ successfully unpacked and MD5 sums checkedpackage ‘dbplyr’ successfully unpacked and MD5 sums checkedpackage ‘ggplot2’ successfully unpacked and MD5 sums checkedpackage ‘haven’ successfully unpacked and MD5 sums checkedpackage ‘lubridate’ successfully unpacked and MD5 sums checkedpackage ‘modelr’ successfully unpacked and MD5 sums checkedpackage ‘readxl’ successfully unpacked and MD5 sums checkedpackage ‘reprex’ successfully unpacked and MD5 sums checkedpackage ‘rvest’ successfully unpacked and MD5 sums checkedThe downloaded binary packages are in	C:\Users\eibf0005\AppData\Local\Temp\RtmpGK1Xi2\downloaded_packagesRunning `R CMD build`...* checking for file 'C:\Users\eibf0005\AppData\Local\Temp\RtmpGK1Xi2\remotes2964500426df\r3-master-6092887ce3dd2f86725fa3840acfb40c0efeb62a/DESCRIPTION' ... OK* preparing 'r3':* checking DESCRIPTION meta-information ... OK* checking for LF line-endings in source and make files and shell scripts* checking for empty or unneeded directories* building 'r3_0.0.0.9000.tar.gz'* installing *source* package 'r3' ...** using staged installation** R** byte-compile and prepare package for lazy loading** help*** installing help indices  converting help for package 'r3'    finding HTML links ... done    check_setup                             html      open_url                                html      r3-package                              html      setup_git_config                        html  ** building package indices** testing if installed package can be loaded from temporary location*** arch - i386*** arch - x64** testing if installed package can be loaded from final location*** arch - i386*** arch - x64** testing if installed package keeps a record of temporary installation path* DONE (r3)"
2,Please describe the problems you've had.,"I was installing GIT on my lap top, and I had to take different decisions about the required installation files, which I did not know about. A colleague helped me, but I am still not sure if have taken the right decisions. Hope that I will encounter no problems during the course."
2,Please describe the problems you've had.,It took me three times to install Gitlab. It said: These packages have more recent versions available. And at the end of the process it gave me errors
2,Please describe the problems you've had.,Please have a look at my previously answer
2,Please describe the problems you've had.,"we don't have administrator rights on the work computers in RegionH, so all programs need to be installed via the software/ computer center of the Region. they add requested programs to the  softwareshop upon request, but that takes quite some time since they need to be checked for saftety. It is meant to help protect patient data but can make installing programs very slow."
2,"In your opinion, what could be improved?",...
2,"In your opinion, what could be improved?","Code of conduct could be shorter. I understand it is necessary, but very wordy :)"
2,"In your opinion, what could be improved?","Guidelines for installation of Git. I hade to go through a lot of steps. I just choose the defualt setting - and hope this is right. A note on whtether this is what should be done could be nice. And is something else should be done, this should be described."
2,"In your opinion, what could be improved?",Hvis linket havde virket hele tiden
2,"In your opinion, what could be improved?",I am satisfied
2,"In your opinion, what could be improved?","I cannot think of anything, everything was very clear and well structured."
2,"In your opinion, what could be improved?",I didn't get the exact same output in R-studio as in the GIF videos - but it seemed to work anyway. When installing remotes it gave me this:These packages have more recent versions available.It is recommended to update all of them.Which would you like to update?1: All                          2: CRAN packages only           3: None                         4: rlang (0.4.4 -> 0.4.5) [CRAN]5: cli   (1.1.0 -> 2.0.2) [CRAN]--> I selected 2.It was fine to use short GIF's to show how to do - but its a bit tricky to spot what the first step was (since the GIF just continues to run). Maybe a video-player where you can stop/play as you want would be better. (however not a big problem when the video is so short)
2,"In your opinion, what could be improved?","I had to install the package 'remotes' prior to starting, which was fine, but it's not mentioned on the page (unless I missed it!). Might cause some confusion for some people who have never opened R prior to this:)"
2,"In your opinion, what could be improved?","I have troubles installing Gitlab, It said: These packages have more recent versions available. It it took me three attemps to do it."
2,"In your opinion, what could be improved?","I think although having problems with Git, all the instructions are straight forward"
2,"In your opinion, what could be improved?",I think it was quite straight and easy to follow.
2,"In your opinion, what could be improved?",I think it's good as it is.
2,"In your opinion, what could be improved?",I thought the pre-course material was more time demanding. Maybe I have missed something.
2,"In your opinion, what could be improved?","I was unsure whether earlier versions of R could be used (the newest was not available to me as an Region H employed). But got an email answer on that, so all good."
2,"In your opinion, what could be improved?","In the beginning I had some problems to be able to solve the tasks, because I needed to download Rtools. This was not described in chapter 2, but after some time I managed to solve the problem using the instructions in R."
2,"In your opinion, what could be improved?","It was in the beginning a bit unclear what exercises I should complete and what I should save, and what was done in the course itself (e.g., the group work assignment)."
2,"In your opinion, what could be improved?",It would be good if the material contains a section of possible errors/mistakes during the preparation
2,"In your opinion, what could be improved?","List of participants of the course (incl. institutions), maybe shared by email"
2,"In your opinion, what could be improved?",Maybe a phone number that you could call when all he problems comes up instead of an email adresse.
2,"In your opinion, what could be improved?",NA
2,"In your opinion, what could be improved?",Nil
2,"In your opinion, what could be improved?",No comments. It all worked well
2,"In your opinion, what could be improved?",Nothing
2,"In your opinion, what could be improved?",Nothing that I can think of at this stage.
2,"In your opinion, what could be improved?",Remainders of pre-course tasks
2,"In your opinion, what could be improved?",The GIFS were cool but sometimes I couldn't tell where the start point was
2,"In your opinion, what could be improved?",The code of conduct was very American style and maybe not that relevant in a Danish research setting
2,"In your opinion, what could be improved?","There were a lot of different links, opening a lot of internet tabs. Sometimes it was difficult to figure out where to find what. And for those of us with system administrated computers, we really have no control over the versions of R and Rstudio"
2,"In your opinion, what could be improved?",You can develop a video to explain the pre-course task
2,"In your opinion, what could be improved?","it is a problem to install/update certain softwares in the work computer and the helpdesk does not help in such short time. In the end, everything turned out to work, but it took much longer than I predicted to complete the pre-tasks. Since this course is to apply to our work, it would be good to consider and desgn the course to be done in the work computer."
2,"In your opinion, what could be improved?",maybe having more pre-course tasks!
2,"In your opinion, what could be improved?",maybe som audio on the small videos could replace some of the text or it could be in addition to the text.
2,"In your opinion, what could be improved?",no suggestion so far
2,"In your opinion, what could be improved?",none
2,"In your opinion, what could be improved?",nothing:-)
2,"In your opinion, what worked well?",All
2,"In your opinion, what worked well?",All instructions were simple and easy to apply.
2,"In your opinion, what worked well?","At first, i couldn't install the package due to some obscure pc settings. Luckily, my wife is an economist and a data wiz - so she fixed it for me."
2,"In your opinion, what worked well?","At man får lov til at snuse til kodespriget, grundigt vejledt af GIF´s"
2,"In your opinion, what worked well?",Everything looked god and I am looking forward
2,"In your opinion, what worked well?",Everything worked well.
2,"In your opinion, what worked well?","Good text descriptions and nice that the codes are included so it can be copy-pasted into R-studio. Good idea to let everyone see what and how to install necessary programs before the course, so we don't spend time on this in the actual course."
2,"In your opinion, what worked well?","I succeeded to install all programs, even though we have some problems with administrator rights in the RegionH. It is great to have the gifs with the screenshots. It is also very convenient to have the webpage with the entire program available beforehand. My colleage enquired about the administrative/ R version issues and that was immediately taken up on the webpage."
2,"In your opinion, what worked well?",I think it was very easy to follow the instructions when downloading the R packages
2,"In your opinion, what worked well?",I think the tasks are clearly described and easy to follow
2,"In your opinion, what worked well?",Interactive GIF images that describe required tasks
2,"In your opinion, what worked well?","It was a nice guidance with combined gifs, texts, and practical assignments."
2,"In your opinion, what worked well?",It was a very easy-to-follow manual. And I had no trouble downloading GIT although working on a windows computer
2,"In your opinion, what worked well?",It was very easy to understand what to do and follow the instructions in the pre-couse material. The small videos (eg. on to install packages) worked very well.
2,"In your opinion, what worked well?","Most of it - if you have right to install programs on your computer (I have but many of my collegues don't). I have R and Rstudio from our softwareshop at my working place, and the newest versions are not the newest available, but I will keep those i have from our softwareshop."
2,"In your opinion, what worked well?","No problems, but took some time to understand and implement"
2,"In your opinion, what worked well?",Overall chapter 2 is very pedagogical and it is easy to overlook the text.
2,"In your opinion, what worked well?",The GIFs were a great way to ensure I was on the right track.
2,"In your opinion, what worked well?",The GIFs worked very well. Easy overview.
2,"In your opinion, what worked well?",The course seems well thought out. It definitely helps to know the softwares (especially the versions) required for the course and ensuring that they are preinstalled before we start the course.
2,"In your opinion, what worked well?",The gifs / movies that show how to install certain things.
2,"In your opinion, what worked well?",The installation explanation with codes that you could copy to clipboard.
2,"In your opinion, what worked well?","The instruction is very clear and easy understanding, it is also user friendly with examples and gif."
2,"In your opinion, what worked well?",The instructions are clear
2,"In your opinion, what worked well?","The instructions of the exercises were clear, and the videos clarified the details"
2,"In your opinion, what worked well?","The instructions were all clear and I particularly liked the gifs for added help. All the links in the instructions were also very helpful, making the process smooth."
2,"In your opinion, what worked well?",The material for the pre-course is easy to follow
2,"In your opinion, what worked well?","The web-page is very well written.  However, I could not download the latest version of R. I have asked the administrators to make the latest version available but it takes several weeks to do so... I also had problems with the initial task because my computer did not have Rtools but that was solved. I hope the course will be possible even though it is not the latest version..."
2,"In your opinion, what worked well?",Very detailed and thorough walk through of the installations and course outline
2,"In your opinion, what worked well?","Very pedagogical language, easy to understand"
2,"In your opinion, what worked well?",embedded links step-by-step instructions
2,"In your opinion, what worked well?","good to get familiar with Rstudio, with the gifs"
2,"In your opinion, what worked well?","the description and figures to intall and set up R, Rstudio and Git"
2,"In your opinion, what worked well?",very clear and straightforward
2,"In your opinion, what worked well?","yes, it work well but have a little trouble with Git"
2,Why do you want to attend this course?,"1. I would like to be able to calculate time in range, time in hypo and time in hyper in the continuos glucose monitoring measurements that I have collected in my clinical study.2. I want to learn a code on how to find a certain time in an excel column or row and calculate for exampel time in range for that certain time-period.  3. I also want to learn simple statistics like mean etc...4. I want enough knowledge to be able to correctly ask about codes/commands in a R-chat group. (Show where to go to get help and to continue learning modern data analysis skills.)5. I absolutely want to learn *the fundamental tools and skills for conducting a reproducible and modern analysis for a research project.*"
2,Why do you want to attend this course?,"Basic analytical skills performed in R, data visualization, and reproductive research."
2,Why do you want to attend this course?,"Basic knowledge about and skills in R. To be able to do basic analyses af data in R on my own, and have a overview of the different functions in R."
2,Why do you want to attend this course?,Basic programming in R
2,Why do you want to attend this course?,"Do diffirent kind of analysis and save the log-file and results in various formats (datasets, excel, word, figures)"
2,Why do you want to attend this course?,Doing data preparation in R and getting a better understanding of how R works
2,Why do you want to attend this course?,Fundamental tools and skills for conducting analyses for a research project with use of R.
2,Why do you want to attend this course?,"How can I use R in my data analysis? I am doing transcriptomics, but through our bioinformation, I like to be able to do or understand myself"
2,Why do you want to attend this course?,"I expect R to less of a mystery. I have worked very little with R, but it involved following a script from a colleague. Although I completely trust my colleague, I would like to be able to trouble-shot myself when necessary and to discuss the script and the analysis we're doing while also being capable of using R independently in my future data analysis"
2,Why do you want to attend this course?,I expect to be able to run simple to more advanced analysis after the course and that the course will increase my skills and interest for statistical computing
2,Why do you want to attend this course?,"I expect to get a good introduction and basic skills in R, and to be inspired to conduct my future analysis and research in the programme."
2,Why do you want to attend this course?,"I expect to get familiar with methods for data management and analyses in R, and I hope to be able to use these in my work when the course is over."
2,Why do you want to attend this course?,I expect to get more familiar with R and get information on how to use R in a way where  analyses will be more reproducible
2,Why do you want to attend this course?,"I expect to learn a little more about how to use R in a good way, in order to do reproducible data analysis"
2,Why do you want to attend this course?,I expect to learn basics in how to program in R to analyse data from my PhD project
2,Why do you want to attend this course?,I expect to learn coding basics and also the work flows. I hope to process and analyze my own RNAseq data and and also available RNAseq and gene expression array datasets in public databases.
2,Why do you want to attend this course?,"I have never used tidyverse, so I would like to learn it. I would like to use R more effectively and efficiently for my analysis."
2,Why do you want to attend this course?,I hope to be able to do EWAS (epigenome-wide association studies) on my own - without being totally dependent on bioinformations:-)
2,Why do you want to attend this course?,I hope to get an understanding how R works and how I can use it in my project. I hope that I will understand the basics and know where I can learn more about it later.
2,Why do you want to attend this course?,"I hope to learn what is R, what can it do and how can it be used for data analysis and presentation (in my working area)After the course I would like to be able to do some basic analyses with R and understand enough about it, so that I can learn more by myself."
2,Why do you want to attend this course?,"I want to learn about I can track any changes to my analysis files, and How can I write reports to describe my data analyses in a reproducible way."
