course_version,id,statement,response
1,6a0217cd06,I think I learned a lot from this course,Strongly agree
1,6a0217cd06,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,6a0217cd06,I think the content on the website clearly communicated the concepts,Strongly agree
1,6a0217cd06,I think the instructors clearly communicated the concepts,Strongly agree
1,6a0217cd06,I think there was good alignment between the learning activities,Strongly agree
1,6a0217cd06,"In general, I think this is a good course",Strongly agree
1,6a0217cd06,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,b037aa2161,I think I learned a lot from this course,Strongly agree
1,b037aa2161,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,b037aa2161,I think the content on the website clearly communicated the concepts,Strongly agree
1,b037aa2161,I think the instructors clearly communicated the concepts,Strongly agree
1,b037aa2161,I think there was good alignment between the learning activities,Strongly agree
1,b037aa2161,"In general, I think this is a good course",Strongly agree
1,b037aa2161,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,51407a7903,I think I learned a lot from this course,Agree
1,51407a7903,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,51407a7903,I think the content on the website clearly communicated the concepts,Strongly agree
1,51407a7903,I think the instructors clearly communicated the concepts,Strongly agree
1,51407a7903,I think there was good alignment between the learning activities,Agree
1,51407a7903,"In general, I think this is a good course",Strongly agree
1,51407a7903,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
1,7d159a7de9,I think I learned a lot from this course,Strongly agree
1,7d159a7de9,I think there was a good mix of learning activities that encouraged my active participation,Agree
1,7d159a7de9,I think the content on the website clearly communicated the concepts,Strongly agree
1,7d159a7de9,I think the instructors clearly communicated the concepts,Agree
1,7d159a7de9,I think there was good alignment between the learning activities,Agree
1,7d159a7de9,"In general, I think this is a good course",Strongly agree
1,7d159a7de9,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
1,0e279882b3,I think I learned a lot from this course,Agree
1,0e279882b3,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1,0e279882b3,I think the content on the website clearly communicated the concepts,Strongly agree
1,0e279882b3,I think the instructors clearly communicated the concepts,Agree
1,0e279882b3,I think there was good alignment between the learning activities,Strongly agree
1,0e279882b3,"In general, I think this is a good course",Strongly agree
