course_version,day,session,worked_well,could_be_improved
1,Day 1,Data management and wrangling,"trying out the different functions in the ""code-along"" style",Nothing I can think of
1,Day 1,Data management and wrangling,It was helpful to see the teacher correct/debug her own code as she went.,"It would have been helpful to have more exercises where we could try and build the code ourselves (i.e., to apply some of the new functions). At times, I felt like I was just copying/typing what the teacher was typing."
1,Day 1,Data management and wrangling,The examples are very helpful.,NA
1,Day 1,Data management and wrangling,good,more explanation about the code
1,Day 1,Data management and wrangling,Code along. Great with the website with all the coding,"Maybe have some data-sets ready that we can use, so we don't use too much time on finding them ourselves."
1,Day 1,Data management and wrangling,straight fordward,more hands on coding
1,Day 1,Data management and wrangling,code along and great helpers,NA
1,Day 1,Data management and wrangling,Hands-on exercises,More breaks and providing more explanation for the exercises
1,Day 1,Data management and wrangling,Good with hands on exercises,explain the purpose of the function - examples of when you would use them
1,Day 1,Data management and wrangling,All the instructions and coding together.,The last session would be easier to follow-up.
1,Day 1,Data management and wrangling,The code along worked well.,There could be more exercises we should do on our own.
1,Day 1,Data management and wrangling,"Simple, code-along, blue/orange post-its",Maybe more time to understand the coding
1,Day 1,Data management and wrangling,"the code-along, makes it easier to understand what we are doing",sometimes I felt some of the functions could have had an introduction on what they will do
1,Day 1,Data management and wrangling,The code along,"Nothing, the pace was good"
1,Day 1,Data management and wrangling,The timming in teaching,I think it worked well just some things more difficult to processes but good
1,Day 1,Data management and wrangling,was very good,was very good
1,Day 1,Data management and wrangling,"I have ever used tidyverse before, so it was interesting to learn it.",Some more exercises with different combinations of functions could be useful.
1,Day 1,Data management and wrangling,"Good examples, and good that it was not an ""expert"" teaching this.",Perhaps a bit more explanation of the different functions - I kind of lost track in the pivoting and grouping part. It would have been nice to start with this session in the morning with a fresh brain :-)
1,Day 1,Data management and wrangling,Eevrything,NA
1,Day 1,Data management and wrangling,see above session,see above session
1,Day 1,Data management and wrangling,Coding on our own computers,Nothing specific
1,Day 1,Management of R projects,"the post-it system, and the number of helpers",A bit more explanation/definition of each task before we begin the task
1,Day 1,Management of R projects,I really liked hearing about how good practice of R Projects related to reproducibility.,It felt like it was really slow to move at times.
1,Day 1,Management of R projects,The materials are very organized. The teachers are GREAT,"If time allowed, more statistical coding will be helpful."
1,Day 1,Management of R projects,good,good
1,Day 1,Management of R projects,Good lectures. Code along is a good way to do it.,NA
1,Day 1,Management of R projects,straight forward,"more hands on coding, maybe start the group excercise for the begining"
1,Day 1,Management of R projects,code along and great helpers,NA
1,Day 1,Management of R projects,Hands-on exercises,Providing basic concepts (e.g.: terminologies on R) before hands-on
1,Day 1,Management of R projects,Good with hands on exercises,NA
1,Day 1,Management of R projects,All the code along part,The last session was a bit intense and get lost because of the tiredness of the all day.
1,Day 1,Management of R projects,It was really good to know the structure of the project folders,Don't know
1,Day 1,Management of R projects,"Very simple, code-along, blue/orange post-its",?
1,Day 1,Management of R projects,the interactive questions,"nothing,"
1,Day 1,Management of R projects,valuable info,NA
1,Day 1,Management of R projects,Learning how to make a project and keep everything in one place.,It was nice
1,Day 1,Management of R projects,"Worked: The session in general, clear teaching and in the first part enough time to process information",I think the first day was good
1,Day 1,Management of R projects,All sessions were well organised and easy to follow,"Exercise 6.5 was given a short time  and instruction were not straightforward. Please, make sure that participants know how to interact with R (e.g., write and execute codes, familiar with the interface, etc).the lecture on open source data should be more interactive.Please, adjust the light. I struggled to view the slides and follow the instructions on the screen."
1,Day 1,Management of R projects,It was very clearly explained.,Nothing that I can think of right now.
1,Day 1,Management of R projects,The stickers! And very hands on teaching.,Maybe the management of projects could be moved to later in the course. It was difficult to follow with no previous experience with R projects.
1,Day 1,Management of R projects,Everything :),More explanation maybe
1,Day 1,Management of R projects,"I really liked the course structure. It is a great mix of lectures and hands-on exercises. And you came up with a great system for people to signal that they need help or are done with their tasks. I am a beginner, i.e. have done very little programming before, and I think that there is plenty of time to do the tasks, which is really nice. It is a great intro to R. Thank you so much.","I cannot come up with anything right now. Again, I really liked the course structure."
1,Day 1,Management of R projects,Coding on our own computers,Nothing specific
1,Day 1,Management of R projects,Group sessions,Nothing
1,Day 1,Management of R projects,Code-along,It runs really good.
1,Day 1,Management of R projects,The hands on were really great,Maybe we need more pre course work to prevent errors?
1,Day 1,Management of R projects,Very nice decriptions,A bit confusing with all the abrreivation and what the commands are used for.
1,Day 1,Management of R projects,everything,i don´t know
1,Day 1,Management of R projects,code-along and help from instructor and helpers,"start with overview of the purpose of codes, as code-along is detail oriented"
1,Day 1,Management of R projects,learned alot got alot of help,"it was great, happy to be back in person"
1,Day 1,Management of R projects,The hands-on exercises,Maybe a bit more explanation of what the packages are or why we are doing this (but that could be way too advanced - I don't know yet)
1,Day 1,Management of R projects,"Intro to structure of file-system and teaching of ""good habits"" when coding in R",Explanation of the use of prodigenr and mentioning alternatives
1,Day 1,Management of R projects,The hands-on and explanation. The pace of the class,Nothing specific
1,Day 1,Management of R projects,getting started,"personally, I find it difficult to type a lot of commands without using hte commands on a dataset, but we have to start somewhere"
1,Day 1,Management of R projects,great introduction,not much
1,Day 1,Management of R projects,The code along sessions,"To get a better understanding of the purpose of the different tasks, data examples would be good."
1,Day 1,Management of R projects,Nice with code along,"8.7: Clone it to your desktop, was not really clear"
1,Day 1,Management of R projects,code-along,more time
1,Day 1,Management of R projects,It gave a nice introduction to R studio,"I am still somehow confused about how Rstudio works, but I expect it to change within the next two days :-)"
1,Day 1,Management of R projects,"Everything! Especially, code-along and help from the instructors.",More consistence in introduction in why are we doing the small.
1,Day 1,Management of R projects,"I think that everything worked well but I am a bit confused in general. However, I guess everything will fall into place during the next days:-)",I don´t have any specific feedback.
1,Day 1,Management of R projects,"BAsically everything worked well. The material is clear and it's nice that most of the coding is done as ""code along"".",Perhaps a little more pre-course preparation would be nice to get some background knowledge of git - basically just reading the material that we read during the day. I just find it hard to concentrate on reading rather than listening or watching during the course day.
1,Day 1,Management of R projects,There was good time for the practise part of the sessíon,a bit more information on why we load the different packages/background on how R works
1,Day 1,Management of R projects,"The whole thing worked well. Especially, the combined code-along and reading-time.","Maybe a little more explanation for certain steps - what does it mean, what does it do, why do we do it. But otherwise very good"
1,Day 1,Management of R projects,Coding along worked very well,I don't know
1,Day 1,Management of R projects,Very nice that everything is written out in the booklet/material if you loose track (or like me have too bad eyesight to see what is being typed on the overhead).,Maybe a little tiny bit more explanation on the progedinr.
1,Day 1,Management of R projects,"Learning the style of ""good code"", how to make a R project, the general structure/setup of a project, the code-alongs",Knowing how to store variables seemed misplaced. Although for less experienced users it might have been needed.
1,Day 1,Management of R projects,"Everything! Especially, code-along and help from the instructors.",More consistence in introduction in why are we doing the small.
1,Day 1,Management of R projects,following the instructions,understanding what the instructions more- why exactly we put the code the way we do. There could be like slide presentation with few examples where arrows indicate what is what - pre course material for the very beginners
1,Day 1,Management of R projects,all,more of practice
1,Day 1,Management of R projects,nice mix between exercises and lecture,sometimes it takes long time in the code along because someone has an error
1,Day 1,Management of R projects,step by step guide,Explain the overall aim not only how to do it.
1,Day 1,Management of R projects,The  notes for what was being done,perhaps begin with where to work with R code rather then  github
1,Day 1,Management of R projects,"Nice interaction between slide set, text guide and tasks.",Nothing to add.
1,Day 1,Management of R projects,Slow and steady teaching. Great help.,More time for hands on. More practice.
1,Day 1,Management of R projects,Code-along worked very well.,"Maybe you could add a bit more too how to do ""neat"" coding."
1,Day 1,Management of R projects,"The ""code along""/""watch while we go through""-approach","If you insist on introducing vectors, naming and syntax at this point, maybe you could tell a little more about what it is used for"
1,Day 1,Management of R projects,Connecting the Rstudio to the Github,all is fine
1,Day 1,Management of R projects,Made my first R project.,Could probably go quicker through this section.
1,Day 1,Management of R projects,It was easy to follow along and do the tasks,It is a bit overwhelming to memorize the style guide rules (even though we don't need to memorize everything)
1,Day 1,Management of R projects,Code-along is a really good way of learning.,good background understanding for R. Nice to get a good understanding of the importance of style.
1,Day 1,Management of R projects,the syllabus material,"More basic R understanding and usage before moving on, please"
1,Day 1,Management of R projects,Everything worked very well,"Maybe on the last day, I will be able to come up with comments"
1,Day 1,Management of R projects,Clear description of what to do,"I will prefer to add a section about ""how to upload your data"" e.g.  have an example with data in an excel file instead of ""air quality""."
1,Day 1,Management of R projects,Really helpful you started from the very basics. You made sure everyone was on the same page. Good with small breaks and asignments(plus code alongs),"Some of the areas was not completely clear, eg. what to use them for (eg the here function)"
1,Day 1,Management of R projects,"I liked the idea of structuring my projects, until now I have been doing things the messy way so I got nice inspiration from this session",I don't have any complains
1,Day 1,Management of R projects,"Creating R project/repository and save all the files in that folder, so that everything can be traced back.","If that was explained with an example of previous data (data frame), I think it would be very nice."
1,Day 1,Management of R projects,It was very nice to code along with the teachers. Good pace. Good exercises. Clear instructions.,"Sometimes it's hard to understand exactly what you are doing, but I think it's also difficult to explain in an easy way sometimes."
1,Day 1,Management of R projects,Exercises on code language were useful,maybe some more functions with their application? Although I know there is not a lot of time. Maybe just having them on the book but not go through them.
1,Day 1,Management of R projects,The code-along was very useful. I would not have done it without this type of supervision. But I was copy-pasting most of the time without knowing what I was doing. But the exercises helped a lot. Soufyan did a great job explaining everything.,"Sometimes it went too fast. and at some point the helpers were talking too loud, so it was difficult to hear the presenter. It was very distracting. I suggest that either the helpers whisper while the presenter continues the session, or the presenter waits for everyone to be ready before continuing."
1,Day 1,Management of R projects,The practical code-along and step-by-step of common mistakes and pitfalls,"It was overall a good session, and potentially a more relevant example would be nice to have"
1,Day 1,Management of R projects,This part for me worked well.,This part for me worked well.
1,Day 1,Management of R projects,Code along,"Start a bit more basic (e.g., use of #, what are packages, load packages and use functions) and mention when it can look differently on your screen)"
1,Day 1,Management of R projects,"I learned how to make an R project and how files can be stored together in a meaningful way, which is very useful",Have more small exercises like the one where you have to edit code and such - maybe just as extra optional activities
1,Day 1,Management of R projects,"code-along, the blue and orange post-its, the tempo (I could follow)",?
1,Day 1,Management of R projects,"Code along worked well, also the simple steps were easy to follow.",The session worked well in general and was a good foundation for a beginner.
1,Day 1,Management of R projects,The session was comprehensible because of the code-along and practical exercises,It could be even more applied if we used a fictive research project and build it up in R
1,Day 1,Management of R projects,hands on workshop is very designed,more case studies
2,Day 1,Management of R projects,i love how progenr package creates all the folder structure and the readme files. i should use this when i start every project ^_^,more tips and tricks will always be appreciated ^_^
2,Day 1,Management of R projects,Very detailed,Could be faster
2,Day 1,Management of R projects,Everything,Nothing
2,Day 1,Management of R projects,all,None
2,Day 1,Management of R projects,"The sticky-notes, the running code with the lecturer",NA
2,Day 1,Management of R projects,very clear instructions,nope
2,Day 1,Management of R projects,It was well organised and structured.,There were quite few breaks which made it hard to concentrate towards the end. There was also a lot of reading which was gard to focus on towards the end of the day.
2,Day 1,Management of R projects,Discussing with group members,I thought it was good already
2,Day 1,Management of R projects,The postit system was excellent for keeping track and I appreciated being able to read through quickly,Make it clearer when there should be a pause. Often ended up reading ahead of the intended task
2,Day 1,Management of R projects,all of it,"before: maybe introduce the app ""CampusInfo"" for finding places at chalmers and GU"
2,Day 1,Management of R projects,The explanation with the read part.,More code along moments.
2,Day 1,Management of R projects,Good overview of file naming,"All new terms were confusing, not sure how to improve on this however"
2,Day 1,Management of R projects,"Everything ran smoothly, it was not too fast, not too slow.",NA
2,Day 1,Management of R projects,making all progress,"maybe divide in two groups,  slower and faster pase"
2,Day 1,Management of R projects,I think it was a dynamic and clear class,The reading and postit worked well. I
2,Day 1,Management of R projects,"Slow paced, many examples",All good
2,Day 1,Management of R projects,Good with alternating reading and practicing (doing yourself),Don't know
2,Day 1,Management of R projects,I was able to follow everything,It all worked out well for me
2,Day 1,Management of R projects,The explanations were good and I enjoyed discussing how we manage the projects with the members of my group.,I think it was a good start as it is.
2,Day 1,Management of R projects,"The pace, the amount of new info","Nothing, it's good"
2,Day 1,Management of R projects,Steb-by-step instructions,All is well.
2,Day 1,Management of R projects,I think the setup was really straightforward and easy to follow.,"I think the timing could be improved - we seemed to run over the intended time, and so didn't have enough time to sort out issues with the GitHub section in the afternoon."
2,Day 1,Management of R projects,The explanation was very clear and it was really important to go step by step.,Everything was fine.
2,Day 1,Management of R projects,"clear introduction to RStudio, and easy to follow",Maybe the content can be more intensive
2,Day 1,Management of R projects,"It was a simple but solid introduction day for a begginer like me and I enjoyed the whole session. Instructors teached quite clear, and slow enough to let us process the all information we just got. I appreciate it.",I have no suggestion so far.
2,Day 1,Management of R projects,I think that it was easy to follow and worked quite well.,"Maybe that I was not used to how the course website work (e.g., that a reading exercise is in a blue box, etc.)"
2,Day 1,Management of R projects,"Great lecture, I think that coding in the same time as the lecture is great to really understand and remember and the written course is very good. The method with the sticky id working very well.",Good maybe go a bit faster sometimes
2,Day 1,Management of R projects,everything,/
2,Day 1,Management of R projects,It was easy to follow coding tasks and get help.,I was happy with the session.
2,Day 1,Management of R projects,I believe it was a nice introduction to the course. The concepts were clear and the exercises were great.,I think everything was good.
2,Day 1,Management of R projects,"Well, it was easy to follow the text and everything worked.",I have no idea.
2,Day 1,Management of R projects,all the process. It is new for me so more practicing will show if I really get how to use it,I cannot think of a change. Definitely practe is needed but maybe that comes on day 2.
2,Day 1,Management of R projects,"I think everything worked very well, I especially liked the small tips and tricks about short commands etc.",Don't have any improvements for this section.
2,Day 1,Management of R projects,I think the reading material is very well written and very self-explanatory.The system of sticky notes works very well,"I like most of it, but I felt the introduction felt quite long.There was a lot of explanation on what we were gonna do, instead of actually doing it."
2,Day 1,Management of R projects,I liked that everything was done together. All the tasks were well described.,Difficult to say.
2,Day 1,Management of R projects,"Clear and easy going, interactive.",Could maybe spend less time on this and more time on the afternoon with version control.
2,Day 1,Management of R projects,"Welcoming athmosphere, different ways of learning (listening, teaching, discussing, doing). Over expectations with breakfast and coffee!",Some things (for example the language used) could be explained more.
2,Day 1,Management of R projects,Pace of the course was good. It didnt feel rushed or crammed.,I dont have a specific value add suggestion here. Maybe regular breaks would be nice. Just trying to be critical here as I cannot think of anything else at the moment.
2,Day 1,Management of R projects,"Code along, proper introduction to basics","I believe that less reading, more code along would be better. But I understand that most people won't read ahead and explaining may take too much time."
1,Day 1,Version control and collaborative practices,Everything,Nothing
1,Day 1,Version control and collaborative practices,The stepwise approach,"I would like to move faster, but I guess this would be difficult"
1,Day 1,Version control and collaborative practices,This was a really practical session. It is clear why we need version control.,This one moved a lot slower for some reason. Maybe people had more complicated errors.
1,Day 1,Version control and collaborative practices,Very nice decriptions,nothing
1,Day 1,Version control and collaborative practices,everything,i don´t know
1,Day 1,Version control and collaborative practices,code-along and help from instructor and helpers,"start with overview of the purpose of codes, as code-along is detail oriented"
1,Day 1,Version control and collaborative practices,all,better projector
1,Day 1,Version control and collaborative practices,Hands-on exercises,can't think of anything
1,Day 1,Version control and collaborative practices,Introduction to using git,More information on how to collaborate with others and how to collaborate on e.g. a manuscript.
1,Day 1,Version control and collaborative practices,Practice exercises and pace,"Got slightly tired by the EOD, (might not be a productive feedback :/). Slightly worried if I will remember this tomorrow."
1,Day 1,Version control and collaborative practices,"The alternation between read-youself, lectures and the asignments","Not much, better than the morning session"
1,Day 1,Version control and collaborative practices,very interesting and great to be hands on,it is a bit long towards the end of the day
1,Day 1,Version control and collaborative practices,Good figures,?
1,Day 1,Version control and collaborative practices,"My R didn't really work, so I got a lot of help and didn't follow Luke",I think it is nice if R works
1,Day 1,Version control and collaborative practices,The exercises,?
1,Day 1,Version control and collaborative practices,"Despite Git being complex, the session gave us a nice insight into how R and Git works and why it is useful",Nothing
1,Day 1,Version control and collaborative practices,"Everything! Especially, code-along and help from the instructors. And the repetition of the assignment (repetitions makes perfect)",I have nothing to add here
1,Day 1,Version control and collaborative practices,It was nice repeating everything.,I don´t have any specific feedback.
1,Day 1,Version control and collaborative practices,"Same as for ""Management of R projects"" session.","See previous answer for ""Management of R projects"" session""."
1,Day 1,Version control and collaborative practices,"That we did the commit push pull many times - that helped me understanding better how Rstudio, GIt and Github are linked/connected","I felt that we went a bit fast over the ""Work a long"" parts so I had a hard time actually following the coding"
1,Day 1,Version control and collaborative practices,Really good examples and explanations on why Git is handy to use,Learning a bit more about history - that you can see the changes you've made there.
1,Day 1,Version control and collaborative practices,I have a hard time telling the different part apart,As above
1,Day 1,Version control and collaborative practices,Same as above.,nothing comes to mind
1,Day 1,Version control and collaborative practices,See how the edits where saved/or not - how to fix it/deal with it.,"Once the connection between GitHub and the local computer was made, then it was ""easy"", but getting there was a bit difficult, with a lot of rebooting/refreshing - not knowing what the actual problem was."
1,Day 1,Version control and collaborative practices,"Everything! Especially, code-along and help from the instructors. And the repetition of the assignment (repetitions makes perfect)",I have nothing to add here
1,Day 1,Version control and collaborative practices,communicating with the server,NA
1,Day 1,Version control and collaborative practices,all,more practice
1,Day 1,Version control and collaborative practices,nice mix between exercises and lecture,sometimes it takes long time in the code along because someone has an error
1,Day 1,Version control and collaborative practices,step by step guide,Explain the overall aim not only how to do it.
1,Day 1,Version control and collaborative practices,The  instructions were easy to follow and clear.,May be group practice will give more time to go over the steps and let it sink in
1,Day 1,Version control and collaborative practices,Availability to help.,Better preparation on software updates and interfaces.
1,Day 1,Version control and collaborative practices,Similar as above,More time for hands on practice.
1,Day 1,Version control and collaborative practices,Explanation of git was very good.,Would like to know how to use the history of changes can be used.
1,Day 1,Version control and collaborative practices,"Rather difficult stuff, but again the code-along approach really helps.",Nothing really
1,Day 1,Version control and collaborative practices,It was so practical,all is fine
1,Day 1,Version control and collaborative practices,"Really helpful for using Git/Github, creating repo's, cloning, push and pull.","Couldn't quite get through all of the exercises in class, just managed to make it to 5.10"
1,Day 1,Version control and collaborative practices,It was easy to understand what is means,"Git is a bit complicated to understand, but I guess it will get better tomorrow :)"
1,Day 1,Version control and collaborative practices,Good pace so that you do not get lost,"sorry, I have no concrete improvements"
1,Day 1,Version control and collaborative practices,The syllabus material,I'm having troubles understanding how this will fit in with my daily work. I feel it is a bit yo much. I don't really understand R yet
1,Day 1,Version control and collaborative practices,"It actually was not my main interest to join this course (maybe will be on later stage), but I clearly can see the advantages",None
1,Day 1,Version control and collaborative practices,Clear description,"It is not necessary to include ""what do we think is difficult in our collaboration now""."
1,Day 1,Version control and collaborative practices,"Didnt know you could do this, so really helpful and I would never had figured it out on my own.",Difficult to have a clear perception/flow/concentration because there was many interruptions (mainly due towindows/mac differences)
1,Day 1,Version control and collaborative practices,I found the intro to git really comprehensive and I liked to see the examples on version control provided,I think we could have used a bit more time exploring the github website. I understand it is difficult to include everything into only one session though.
1,Day 1,Version control and collaborative practices,Learning about Git and Git hub,"Again, if an example (using previous data) can be added maybe helpful in improving the session."
1,Day 1,Version control and collaborative practices,Same as above.,Same as above.
1,Day 1,Version control and collaborative practices,everything worked well and now I can have github for personal use,nothing
1,Day 1,Version control and collaborative practices,It was really easy to understand and go through. Anders made everything clear.,I have no comment. Anders did a good job.
1,Day 1,Version control and collaborative practices,Having to read some of the first parts as part of the pre-course and the explanation of what it is and why we should do it. The slow approach to how to commit files was generally easy to follow,"Going thru at least 2 different ways of working with the repositories might be useful to know, rather than being dependent on a single method?"
1,Day 1,Version control and collaborative practices,The theoretical explanation about Git and why worth to learn it worked super well.,"I got confused during the practice because there are several ways to execute the commands, and maybe if explain separated could be better to understand how Github connects to Rstudio."
1,Day 1,Version control and collaborative practices,"Short exercises and discussions, hands-on training, quick support","Reading material was sometimes difficult to understand - was much clearer after the comments of the lecturers, so maybe this can be more combined?"
1,Day 1,Version control and collaborative practices,Good introduction to what git is and why you should use it,Add the alternative way of pushing repositories to github to the course site
1,Day 1,Version control and collaborative practices,Same as above. It worked well with the fast help from instructors. If you get behind it is difficult to catch up.,?
1,Day 1,Version control and collaborative practices,Git was a completely new concept for me but it was still possible to follow along.,Could have included more real life examples to understand what could it be actually used for in research.
1,Day 1,Version control and collaborative practices,"Again, the hands-on exercises helped to build an understanding on how to communicate in Git and GitHub",It could also be more applied if we used a fictive case
1,Day 1,Version control and collaborative practices,nothing specific,nothing specific
2,Day 1,Version control and collaborative practices,learned new things about Git,perhaps structure it in a more logical way? i was confused why i have 2 repositories (learning-github and LearningR)
2,Day 1,Version control and collaborative practices,Walkthrough was very detailed,Speed of the session
2,Day 1,Version control and collaborative practices,Everything,Nothing
2,Day 1,Version control and collaborative practices,all,none
2,Day 1,Version control and collaborative practices,The pace was good and it was easy to follow,NA
2,Day 1,Version control and collaborative practices,it was really clear just the schedule was a bit tight,maybe have more experienced instructors for more students
2,Day 1,Version control and collaborative practices,There were quite few breaks which made it hard to concentrate towards the end. There was also a lot of reading which was gard to focus on towards the end of the day.,It was well organised and structured.
2,Day 1,Version control and collaborative practices,"Being able to read and learn instead of listening to a lecture, and practicing helped a lot to get the idea","It was already good, but more practice examples with a few more steps/changes would be fun :)"
2,Day 1,Version control and collaborative practices,The postit system was excellent for keeping track and I appreciated being able to read through quickly,Make it clearer when there should be a pause. Often ended up reading far ahead
2,Day 1,Version control and collaborative practices,all of it,i think it went well
2,Day 1,Version control and collaborative practices,The explanation with the read part.,More practices.
2,Day 1,Version control and collaborative practices,Clear exercise for committing to GitHub – hopefully this is incorporated into the rest of the course to give us some practice,Schedule and timekeeping
2,Day 1,Version control and collaborative practices,The speed was good as well. It is great to finally learn how to set up github on R,Difficulties while setting up github.. Hopefully will fix that tomorrow
2,Day 1,Version control and collaborative practices,good help,it was good
2,Day 1,Version control and collaborative practices,I understood and folllow so thanks for the clarity.,"I think that was a lot of reading and the setting GitHub was a bit confusing, it will had been good maybe more text abut more highlight to the relevant things that needed to be added to the console"
2,Day 1,Version control and collaborative practices,"Slow paced, many examples","Creating learning-github repo (1st repo) ended in nothing. we are asked to try to make a new project in R based on this repo but then are asked to get the token and then use it for LearningR, so learning-github just ends up being unused. Also we are taught on how to make learning-github (repo via github) private, but not LearningR (repo via R) so it is public by default. I suggest including the instruction on making it private explicitly."
2,Day 1,Version control and collaborative practices,Good with alternating reading and practicing (doing yourself),Don't know
2,Day 1,Version control and collaborative practices,I was able to install and follow everything,The Github submit and commit could be explained a bit slower or a bit more step by step. I was able to ask my peers so it all worked out:)
2,Day 1,Version control and collaborative practices,It was good that in the pre-course task we had to read about Git so we were familiar with this concept beforehand today.,I think it was a good start as it is.
2,Day 1,Version control and collaborative practices,"The amount of info and a decent raise in complicity (not too easy, not too hard, challenging enough)","A tiny bit slower pace, sometimes it was hard to type as fast as the teacher"
2,Day 1,Version control and collaborative practices,It is interesting and new learning for me.,"As a new and somehow complicated process in the beginging, I would prefer the instructor should show us the steps first, then we do it by reading the text."
2,Day 1,Version control and collaborative practices,The portion about setting up Git with R was really straightforward.,"The linking a local repository to GitHub section had some complications, and there wasn't enough time to debug them."
2,Day 1,Version control and collaborative practices,The version control session was fine with the lessons.,More practical examples.
2,Day 1,Version control and collaborative practices,detailed turotial and good intro of version control,Maybe display first and then try to practice.
2,Day 1,Version control and collaborative practices,"It was a bit difficult as instructors warned us before but they teached very clear, and slow enough.",I have no suggestion so far.
2,Day 1,Version control and collaborative practices,The beginning because it was only reading :),I do not think that what we read is repeated orally. I would prefer to have more time for the coding after.
2,Day 1,Version control and collaborative practices,The coding along as well as the sticky method,Good maybe go a bit faster sometimes
2,Day 1,Version control and collaborative practices,reading and code along,the access token thing
2,Day 1,Version control and collaborative practices,Following the session was easy and gave a good understanding of version control with git.,I was happy with the session.
2,Day 1,Version control and collaborative practices,The exercises and the tutorial was easy to follow,I think everything was good.
2,Day 1,Version control and collaborative practices,"Well, it was easy to follow the text and everything worked.","It was to late. I am not able to stay focused for such long days. So, I did the exercise and everything works but I really do not record why or what I'm doing. So really don't learn anything. But this is more of a time schedule issue than anything else."
2,Day 1,Version control and collaborative practices,New information. Looks like I can properly use R from now on without losing info and with well organized format.,It made more sense than the times I tried to understand it by my own. Maybe spending more time during the course on this will increase general understanding of GitHub use.
