Questions,course_version,Responses
What do you expect to learn and what would you like to be able to do with what you've learned?,4,After this course I would like to be able to carry out statistical tests and analyses related to my epidemiological research on my own
What do you expect to learn and what would you like to be able to do with what you've learned?,5,Basic knowledge and performing analyses
What do you expect to learn and what would you like to be able to do with what you've learned?,5,Being able to potentially identify certain cell types based on analyzing hundreds of gene expressions.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"Better coding in R, version management. I think that after this course I will be better at handling large research projects that require different stages of analysis."
What do you expect to learn and what would you like to be able to do with what you've learned?,4,"Better project management, I hope this will pay off in saving time and more transparency"
What do you expect to learn and what would you like to be able to do with what you've learned?,5,better quality of my research. get familiar with version control
What do you expect to learn and what would you like to be able to do with what you've learned?,4,"Clean-up, import and visualise data. Run different (common) analyses and interpret the data."
What do you expect to learn and what would you like to be able to do with what you've learned?,4,data analysis using R with RNA seq data
What do you expect to learn and what would you like to be able to do with what you've learned?,4,Do my own analysis
What do you expect to learn and what would you like to be able to do with what you've learned?,4,"How to organize my data and scripts, how to use R for simple statistics and plotting"
What do you expect to learn and what would you like to be able to do with what you've learned?,5,How to use R and how to collaborate with others using current tools and methods
What do you expect to learn and what would you like to be able to do with what you've learned?,5,How to use R and to be able to use that as my primary analysis program.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"How to work with my data in R, how to visualize my data and how to keep track of the changes I introduce"
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I do not have a specific task in mind that I aim to accomplish. My objective is to try and learn a new skill and see how that be incorporated in the research I do as a way of expanding my research scope.
What do you expect to learn and what would you like to be able to do with what you've learned?,4,"I expect to be able to code in R at a beginners level being a solid fundament to learn further  skills in R. Of particular interest, I want to improve my graphical coding skills."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"I expect to be fluent in R and Git after the course. I am processing many breast cancer samples and mainly working in the lab so I would like to be able to handle the data produced from my experiments in an organised, reproducible, and non-biased way."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"I expect to get an introduction in working with R, basics in how to analyze my data and how to visualize it in a good way. I also expect to learn about reproducibility and to learn a bit about Git as a version control. After the course I want to have a good basic understanding of how to work in R, which I can then continue to develop."
What do you expect to learn and what would you like to be able to do with what you've learned?,4,"I expect to have a general notion of how R language works, and as mentioned before, to start learning R to use it in my research as soon as possible"
What do you expect to learn and what would you like to be able to do with what you've learned?,4,"I expect to learn about collaborating on projects, Management of R projects, management, analysis and visualization of the collaborative projects etc."
What do you expect to learn and what would you like to be able to do with what you've learned?,4,I expect to learn and apply collaborative techniques using R.  I would like to apply these techniques to my research and to be able to work with large data sets and conduct reproducible research.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I expect to learn how to better use Git when working on projects. I would like to make my research methods as easily-reproducible as possible.
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"I expect to learn how to code efficiently, in an understandable manner, and manage my version of R scripts. I use already Github but mostly with the Github Desktop for my other projects (LaTeX, python, html, ...) but it seems we will use it differently here with R."
What do you expect to learn and what would you like to be able to do with what you've learned?,4,"I expect to learn how to navigate in and get a basic understanding of R. I want to use that to be able to start working in R, and create figures and tables for my project."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"I expect to learn how to use R and its packages for data organization, filtering and analysis. I would like to use these skills in my work with clinical and transcriptomic data."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I expect to learn how to use R properly then I can analyzed the results I obtained after omic approaches.
What do you expect to learn and what would you like to be able to do with what you've learned?,4,I expect to learn how to use the basic tools of R and to visualize my data.
What do you expect to learn and what would you like to be able to do with what you've learned?,4,I expect to learn how to wrangle my data in a format that is easy to work with in R. I also expect to be more independent in my data analysis once I have passed the course
What do you expect to learn and what would you like to be able to do with what you've learned?,5,"I expect to learn more about the advantages of using tools such as git version control, r markdown, and packages such as tidyverse. I would also like to learn more about available tools for data visualization. I planned to use this knowledge to write more understandable code for me and for my colleagues."
What do you expect to learn and what would you like to be able to do with what you've learned?,5,I expect to learn more about the best practise of how to document my dat analysis and how to use Git.
What do you expect to learn and what would you like to be able to do with what you've learned?,4,I expect to learn the basics of R/RStudio and were to get help. I would like to know about and apply some of the fundamental tools of R/RStudio.
What do you expect to learn and what would you like to be able to do with what you've learned?,4,"I expect to learn the basics of using R, and I hope to be able to use R for statistical analysis in future projects"
