statement,response,n
I think I learned a lot from this course,Agree,4
I think I learned a lot from this course,Strongly agree,7
I think the content on the website clearly communicated the concepts,Agree,3
I think the content on the website clearly communicated the concepts,Strongly agree,8
I think the instructors clearly communicated the concepts,Agree,2
I think the instructors clearly communicated the concepts,Strongly agree,9
I think there was a good mix of learning activities that encouraged my active participation,Agree,3
I think there was a good mix of learning activities that encouraged my active participation,Strongly agree,8
I think there was good alignment between the learning activities,Strongly agree,11
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree,5
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral,1
"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree,5
"In general, I think this is a good course",Strongly agree,11
