question,response
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,A systematic approach to setting up projects that are sharable and sustainable.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"Collab using github, solve merge conflicts, make robust automated reproducible analyses with quarto reports."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I expect to learn how to process my data faster, in a reproducible way (mostly for me to be able to repeat the analysis for multiple dataset/experiment/samples etc), in an comprehensive way for better collaboration with colleagues involved"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I expect to learn more ways to optimise my pipelines in elegant ways.
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I expect to learn using R to do reproducible research. I used to use Stata for this, but I wish to switch to R and would like to use R solely in the future."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I expect to strengthen my analysis workflow and programming skills so I can write clearer, more efficient code. This will help me work more effectively across different studies and datasets, especially when combining and comparing them."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I hope to apply more automated ""pipelines"" in my coding, and ensure that my studies become as reproducible as feasible."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I hope to learn more about reproducible coding in R. I found the intermediate course very interesting, but I still need to practice more to make it part of my regular R routine."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I hope to learn tools that I can directly implement in my team, so that we can all get better at writing reproducible code that everyone can easily understand and run."
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I understand the basics of using git, but I have had a lot of problems with it (on statistics denmarks servers). I have learnt a lot from the previous courses but I would like to clean up my workflow even more (particularly for data analysis, not just data wrangling)"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,I want to become better at standardizing my coding and also organize common coding in my research group. I also wish to extend my knowledge of coding practices for my career after the phd
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I want to continue learning how to do reproducible analysis, and i hope to learn how to do analysis more efficiently"
What do you expect to learn from this course and what would you like to be able to do afterwards with what you've learned?,"I want to develop skills for more formalized pipeline development, with a focus on how to set up file frameworks to create semi-automated data management and analysis systems. More than literal code, I would like tools about organization structures for reproducible workflows. Information that is also applicable to package development would be very helpful."
