question,response,count
What are your preferred pronouns?,He/him,6
What are your preferred pronouns?,She/her,5
What is your formal position?,Consultant/projectmanager,1
What is your formal position?,PhD student,4
What is your formal position?,Postdoc,1
What is your formal position?,Research Program Lead,1
What is your formal position?,Research assistant,2
What is your formal position?,Researcher,1
What is your formal position?,Student assistent,1
Do you accept the conditions laid out in the Code of Conduct?,Yes,11
