session_name,question,response
Day 2,could be improved for the Processing and joining datasets for cleaning,"Explain more about the different files we uses (.R, .qmd and Description) and why we use them"
Day 2,could be improved for the Processing and joining datasets for cleaning,"Heavy part, in the end of the day."
Day 2,could be improved for the Processing and joining datasets for cleaning,Here i missed the beginners course
Day 2,could be improved for the Processing and joining datasets for cleaning,"I felt that this session was rushed a little, but I believe we will continue it tomorrow. The session is very interesting, but having it very late throughout the day made it a little more difficult to follow along. Luckily, through the well written syllabus, I will read up on it later tonight at a little slower tempo."
Day 2,could be improved for the Processing and joining datasets for cleaning,I missed this part
Day 2,could be improved for the Processing and joining datasets for cleaning,"I think it might be good with a few more examples of why you'd need to do processing and joining datasets for cleaning. I know that for my case it made a lot of sense, but for my sidebuddy, it wasn't quite clear."
Day 2,could be improved for the Processing and joining datasets for cleaning,It has not finished yet
Day 2,could be improved for the Processing and joining datasets for cleaning,"It was a little fast at the end, especially since it was at the end of the day and our brains might have been a little bit fried"
Day 2,could be improved for the Processing and joining datasets for cleaning,"Maybe slow down a little bit at some points when you write. It was a bit fast sometimes, at least for me. But this is minor things and I was quickly back on track, although I may have missed some of the information."
Day 2,could be improved for the Processing and joining datasets for cleaning,No comments yet :-)
Day 2,could be improved for the Processing and joining datasets for cleaning,Nothing
Day 2,could be improved for the Processing and joining datasets for cleaning,Nothing I can think of.
Day 2,could be improved for the Processing and joining datasets for cleaning,Nothing really
Day 2,could be improved for the Processing and joining datasets for cleaning,"Nothing, all very good"
Day 2,could be improved for the Processing and joining datasets for cleaning,"Same as for ""Save time,..."""
Day 2,could be improved for the Processing and joining datasets for cleaning,Some problems with the data set had me falling behind during the lesson.
Day 2,could be improved for the Processing and joining datasets for cleaning,Speed up the teaching. It is a bit slow.
Day 2,could be improved for the Processing and joining datasets for cleaning,To be continued
Day 2,could be improved for the Processing and joining datasets for cleaning,fine
Day 2,could be improved for the Processing and joining datasets for cleaning,"it was a loooong day at the end. At some point we had to write some functions again we already wrote earlier, and were told to delete them - that seemed weird."
Day 2,could be improved for the Processing and joining datasets for cleaning,maybe some recap. take home mesaages.
Day 2,could be improved for the Processing and joining datasets for cleaning,n/a
Day 2,could be improved for the Processing and joining datasets for cleaning,no comments
Day 2,could be improved for the Processing and joining datasets for cleaning,"no complaints :D I tried to think of something, I really did"
Day 2,could be improved for the Processing and joining datasets for cleaning,only did the reading
Day 2,could be improved for the Processing and joining datasets for cleaning,teacher goes a little to fast when typing in R
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",.maybe some recap. Take home messages. background for the structure of the functional
Day 2,"could be improved for the Save time, don’t repeat yourself: Using functionals",Could be a bit longer with a few more examples but not necessary
