questions,responses,count
What is your formal position?,PhD student,23
What is your formal position?,Postdoc,5
What is your formal position?,Research year student,2
What city do you work in or nearest to?,Aalborg,1
What city do you work in or nearest to?,Aarhus,12
What city do you work in or nearest to?,Copenhagen,8
What city do you work in or nearest to?,Odense,8
What city do you work in or nearest to?,Roskilde,1
How do you perceive your skill/knowledge of... [using R?],Beginner,8
How do you perceive your skill/knowledge of... [using R?],Beginner-Intermediate,14
How do you perceive your skill/knowledge of... [using R?],Intermediate,7
How do you perceive your skill/knowledge of... [using R?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner,3
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner-Intermediate,15
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate,7
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate-Advanced,5
How do you perceive your skill/knowledge of... [programming in general?],Beginner,12
How do you perceive your skill/knowledge of... [programming in general?],Beginner-Intermediate,13
How do you perceive your skill/knowledge of... [programming in general?],Intermediate,4
How do you perceive your skill/knowledge of... [programming in general?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of... [managing data in general?],Beginner,6
How do you perceive your skill/knowledge of... [managing data in general?],Beginner-Intermediate,13
How do you perceive your skill/knowledge of... [managing data in general?],Intermediate,10
How do you perceive your skill/knowledge of... [managing data in general?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner,22
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner-Intermediate,8
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner,12
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner-Intermediate,8
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate,8
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate-Advanced,2
What programs have you previously used for data analysis?,Excel,3
What programs have you previously used for data analysis?,"Excel, GraphPad Prism",4
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, R",1
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, SigmaPlot",1
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, spotfire",1
What programs have you previously used for data analysis?,"Excel, R and BASH",1
What programs have you previously used for data analysis?,GraphPad Prism,1
What programs have you previously used for data analysis?,Matlab,1
What programs have you previously used for data analysis?,"Matlab, Excel, GraphPad Prism",2
What programs have you previously used for data analysis?,None,4
What programs have you previously used for data analysis?,"Python, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,"SAS/SAS JMP, SPSS, Stata, Python, Excel",1
What programs have you previously used for data analysis?,"SPSS, Excel, GraphPad Prism",2
What programs have you previously used for data analysis?,Stata,4
What programs have you previously used for data analysis?,"Stata, Excel",3
Do you accept the conditions laid out in the Code of Conduct?,Yes,30
What gender do you identify with?,Man,10
What gender do you identify with?,Woman,20
How often do you currently use: [dplyr],Daily,2
How often do you currently use: [dplyr],Few times a month,2
How often do you currently use: [dplyr],Few times a week,4
How often do you currently use: [dplyr],Haven't used R,4
How often do you currently use: [dplyr],Never,5
How often do you currently use: [dplyr],Once a month,5
How often do you currently use: [dplyr],Once a week,8
How often do you currently use: [tidyr],Daily,2
How often do you currently use: [tidyr],Few times a month,3
How often do you currently use: [tidyr],Few times a week,4
How often do you currently use: [tidyr],Haven't used R,4
How often do you currently use: [tidyr],Never,5
How often do you currently use: [tidyr],Once a month,5
How often do you currently use: [tidyr],Once a week,7
How often do you currently use: [pipe (%>%)],Daily,3
How often do you currently use: [pipe (%>%)],Few times a month,6
How often do you currently use: [pipe (%>%)],Few times a week,3
How often do you currently use: [pipe (%>%)],Haven't used R,4
How often do you currently use: [pipe (%>%)],Never,8
How often do you currently use: [pipe (%>%)],Once a month,2
How often do you currently use: [pipe (%>%)],Once a week,4
How often do you currently use: [GitHub/GitLab and Git],Few times a month,2
How often do you currently use: [GitHub/GitLab and Git],Haven't used R,4
How often do you currently use: [GitHub/GitLab and Git],Never,14
How often do you currently use: [GitHub/GitLab and Git],Once a month,9
How often do you currently use: [GitHub/GitLab and Git],Once a week,1
How often do you currently use: [R Markdown],Daily,3
How often do you currently use: [R Markdown],Few times a month,3
How often do you currently use: [R Markdown],Few times a week,3
How often do you currently use: [R Markdown],Haven't used R,4
How often do you currently use: [R Markdown],Never,8
How often do you currently use: [R Markdown],Once a month,5
How often do you currently use: [R Markdown],Once a week,4
How often do you currently use: [purrr],Few times a month,2
How often do you currently use: [purrr],Few times a week,1
How often do you currently use: [purrr],Haven't used R,5
How often do you currently use: [purrr],Never,20
How often do you currently use: [purrr],Once a month,1
How often do you currently use: [purrr],Once a week,1
How often do you currently use: [tidyverse],Daily,3
How often do you currently use: [tidyverse],Few times a month,4
How often do you currently use: [tidyverse],Few times a week,3
How often do you currently use: [tidyverse],Haven't used R,4
How often do you currently use: [tidyverse],Never,6
How often do you currently use: [tidyverse],Once a month,4
How often do you currently use: [tidyverse],Once a week,6
How often do you currently use: [vroom/readr],Daily,1
How often do you currently use: [vroom/readr],Few times a month,2
How often do you currently use: [vroom/readr],Haven't used R,5
How often do you currently use: [vroom/readr],Never,15
How often do you currently use: [vroom/readr],Once a month,4
How often do you currently use: [vroom/readr],Once a week,3
