session_name,question,response
Day 3,could be improved for the Data visualization,A cheatsheet with the most common codes to make figures and tables visually beautifull and tidy.
Day 3,could be improved for the Data visualization,"Even more themes, labels and stuff"
Day 3,could be improved for the Data visualization,"For almost all sessions today, we were short on time and had to skip things. This left very little room for ""reflections"" on the content, that we had just learned, or even the option to play with the new code we were just taught."
Day 3,could be improved for the Data visualization,"Honestly.. Nothing, only more time!"
Day 3,could be improved for the Data visualization,"I think it was a little rushed, but I also know that's because we were delayed from the other days. We also didn't get to finish all the objectives, but that's really okay cause I know the website is super easy to follow by yourself as well."
Day 3,could be improved for the Data visualization,It was really nice
Day 3,could be improved for the Data visualization,"It would have been great if we could have had a little bit more time for the exercises, or even more exercises to really practice all the commands."
Day 3,could be improved for the Data visualization,"Just few smaller this. It went a bit fast, often, if one could not follow or had problems the code was not visible anymore. Also the curser text was sometimes in front of the code text above"
Day 3,could be improved for the Data visualization,"More information about customizing charts, labels positions etc."
Day 3,could be improved for the Data visualization,More time for individual assignments performing data visualization
Day 3,could be improved for the Data visualization,No suggestions
Day 3,could be improved for the Data visualization,Nothing.
Day 3,could be improved for the Data visualization,Nothing. It was really good.
Day 3,could be improved for the Data visualization,Show us how to change the colors :-)
Day 3,could be improved for the Data visualization,"Slow down just abit, and remember to scroll up to the code once it's ran and created an image."
Day 3,could be improved for the Data visualization,The session could have been a bit longer
Day 3,could be improved for the Data visualization,maybe links or tools to where to go and learn more about it.
Day 3,could be improved for the Data visualization,more time
Day 3,could be improved for the Data visualization,no comments
Day 3,could be improved for the Data visualization,nothing:)
Day 3,could be improved for the Data visualization,"the wrongly ordered factors were an eyesore, and I think it would be a nice addon to address how they can be rearranged"
Day 3,could be improved for the group project assignment,A little more time could be usefull
Day 3,could be improved for the group project assignment,"Despite the niceness of already set groups, it would have been great to team up with people who you got along well with or who you somehow levelled with in coding."
Day 3,could be improved for the group project assignment,"I don't think anything could be improved, it was really good."
Day 3,could be improved for the group project assignment,"I would prefer if the group work, was instead of making a group report, would be working on separate reports and helping each other out with the assignments."
