questions,responses,count
What is your formal position?,PhD student,25
What is your formal position?,Postdoc,5
What city do you work in or near?,Aarhus,10
What city do you work in or near?,Copenhagen,9
What city do you work in or near?,"Kiel, Germany",1
What city do you work in or near?,Odense,9
What city do you work in or near?,Roskilde,1
How do you perceive your skill/knowledge of [using R?],Beginner,18
How do you perceive your skill/knowledge of [using R?],Beginner-Intermediate,10
How do you perceive your skill/knowledge of [using R?],Intermediate,2
What programs have you previously used for data analysis?,Excel,6
What programs have you previously used for data analysis?,"Excel, GraphPad Prism",6
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, MATLAB",1
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, Tiny bit Rstudio",1
What programs have you previously used for data analysis?,"Excel, SigmaPlot, GraphPad Prism",1
What programs have you previously used for data analysis?,None,1
What programs have you previously used for data analysis?,R,1
What programs have you previously used for data analysis?,"SAS/SAS JMP, SPSS, Stata, Excel, Python",1
What programs have you previously used for data analysis?,"SPSS, Excel, GraphPad Prism",3
What programs have you previously used for data analysis?,"SPSS, Excel, GraphPad Prism, Python, Matlab and google sheets",1
What programs have you previously used for data analysis?,"SPSS, Excel, SigmaPlot, GraphPad Prism",1
What programs have you previously used for data analysis?,"SPSS, GraphPad Prism",1
What programs have you previously used for data analysis?,Stata,1
What programs have you previously used for data analysis?,"Stata, Excel",3
What programs have you previously used for data analysis?,"Stata, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,"Stata, Excel, SigmaPlot, GraphPad Prism",1
Do you accept the conditions laid out in the Code of Conduct?,Yes,29
Do you accept the conditions laid out in the Code of Conduct?,"Yes, but i am generally a little conserned about why good behavior in order to finish course is not simply assumed",1
How do you perceive your skill/knowledge of [data analysis in general?],Beginner,9
How do you perceive your skill/knowledge of [data analysis in general?],Beginner-Intermediate,11
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate,7
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate-Advanced,3
How do you perceive your skill/knowledge of [programming in general?],Beginner,17
How do you perceive your skill/knowledge of [programming in general?],Beginner-Intermediate,9
How do you perceive your skill/knowledge of [programming in general?],Intermediate,3
How do you perceive your skill/knowledge of [programming in general?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner,26
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner-Intermediate,3
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Intermediate,1
What gender do you identify with?,Man,8
What gender do you identify with?,Woman,22
