statement,response,n
I think I learned a lot from this workshop,Agree,1
I think I learned a lot from this workshop,Neutral,1
I think I learned a lot from this workshop,Strongly agree,15
I think the content on the website clearly communicated the concepts,Agree,2
I think the content on the website clearly communicated the concepts,Strongly agree,15
I think the instructors clearly communicated the concepts,Agree,7
I think the instructors clearly communicated the concepts,Strongly agree,10
I think there was a good mix of learning activities that encouraged my active participation,Agree,3
I think there was a good mix of learning activities that encouraged my active participation,Strongly agree,14
I think there was good alignment between the learning activities,Agree,3
I think there was good alignment between the learning activities,Strongly agree,14
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree,6
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral,2
"I think this workshop has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree,9
"In general, I think this was a good workshop",Agree,1
"In general, I think this was a good workshop",Strongly agree,16
