session_name,question,response
Dependency management for smoother collaboration,could be improved for,"A few of the questions were a bit unclear. E.g., updating of readme files in folders, as we haven't used these parts yet."
Dependency management for smoother collaboration,could be improved for,A more comprehensive introduction to the pak package to ensure everyone follows the idea. Then again could be because i havn't attended the intermediate course first
Dependency management for smoother collaboration,could be improved for,Clearer introduction to README.md in the different folders
Dependency management for smoother collaboration,could be improved for,I don't have suggestions right now.
Dependency management for smoother collaboration,could be improved for,I think this whole session (including intro) is taking a very large amount of time and could be faster maybe :)
Dependency management for smoother collaboration,could be improved for,I was out of time for the last part of the session.
Dependency management for smoother collaboration,could be improved for,I was satisfied overall. For now everything is optimal.
Dependency management for smoother collaboration,could be improved for,"In order to turn back to these notes in the future, it would be nice to have a simplified block of code call with very brief description  of the code to replicate in future projects. Also, I would love the course website in PDF format."
Dependency management for smoother collaboration,could be improved for,"It felt like a bit much to have to read through the 15.1 reading exercise again, when we also read it before the course"
Dependency management for smoother collaboration,could be improved for,Kind-of repetitive with pre-workshop tasks
Dependency management for smoother collaboration,could be improved for,"Mabye add to the info mail, that you should definitely bring you own headphones, so that you can lisen to the read through selections IF you are dyslexic : )"
Dependency management for smoother collaboration,could be improved for,Nothing
Dependency management for smoother collaboration,could be improved for,Nothing :)
Dependency management for smoother collaboration,could be improved for,Nothing I have noted
Dependency management for smoother collaboration,could be improved for,Nothing other than remembering the correct order of the tasks
Dependency management for smoother collaboration,could be improved for,Nothing:)
Dependency management for smoother collaboration,could be improved for,Quite a lot of repetition from previous courses
Dependency management for smoother collaboration,could be improved for,Some exercises were a bit slow and required much less time than what was allocated.
Dependency management for smoother collaboration,could be improved for,The Git-hub setup was problematic - perhaps state in the pre-workshop about the expired tokens for us having them before and who is not very techy to figure it out ourselves.
Dependency management for smoother collaboration,could be improved for,"The editting of the readme files was slightly confusing. It would make sense to do for a projekt where I had an overview and knew the files. However, the conceptual idea is clear and well communicated. But the actual task was slightly arbitrary and didn't need to take long."
Dependency management for smoother collaboration,could be improved for,To much repetition from last course
Dependency management for smoother collaboration,could be improved for,a little more information about what the things we do in r means/does in the code along parts.
Dependency management for smoother collaboration,could be improved for,maybe go through a 'template' project folder and subfolders to get to know these
Dependency management for smoother collaboration,worked well for,Clear explanation of the gaps from the earlier courses
Dependency management for smoother collaboration,worked well for,Codealongs
Dependency management for smoother collaboration,worked well for,Following clearly each step in this session as well as understanding the importance of the material covered.
