question,response,count
What gender do you identify with?,Man,7
What gender do you identify with?,Woman,15
What is your formal position?,PhD student,11
What is your formal position?,Postdoc,9
What is your formal position?,Research assistant,1
What is your formal position?,Scientist,1
What city do you work in or nearest to?,Aalborg,1
What city do you work in or nearest to?,Aarhus,5
What city do you work in or nearest to?,Copenhagen,10
What city do you work in or nearest to?,Odense,5
What city do you work in or nearest to?,Potsdam,1
How do you perceive your skill/knowledge of... [using R?],Advanced,2
How do you perceive your skill/knowledge of... [using R?],Beginner,1
How do you perceive your skill/knowledge of... [using R?],Beginner-Intermediate,1
How do you perceive your skill/knowledge of... [using R?],Intermediate,8
How do you perceive your skill/knowledge of... [using R?],Intermediate-Advanced,10
How do you perceive your skill/knowledge of... [data analysis in general?],Advanced,3
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner-Intermediate,1
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate,7
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate-Advanced,11
How do you perceive your skill/knowledge of... [programming in general?],Advanced,3
How do you perceive your skill/knowledge of... [programming in general?],Beginner-Intermediate,7
How do you perceive your skill/knowledge of... [programming in general?],Intermediate,10
How do you perceive your skill/knowledge of... [programming in general?],Intermediate-Advanced,2
How do you perceive your skill/knowledge of... [writing reproducible code in general?],Beginner,1
How do you perceive your skill/knowledge of... [writing reproducible code in general?],Beginner-Intermediate,8
How do you perceive your skill/knowledge of... [writing reproducible code in general?],Intermediate,9
How do you perceive your skill/knowledge of... [writing reproducible code in general?],Intermediate-Advanced,4
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner,7
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner-Intermediate,5
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Intermediate,9
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of... [collaborating through Git?],Beginner,11
How do you perceive your skill/knowledge of... [collaborating through Git?],Beginner-Intermediate,6
How do you perceive your skill/knowledge of... [collaborating through Git?],Intermediate,3
How do you perceive your skill/knowledge of... [collaborating through Git?],Intermediate-Advanced,2
How do you perceive your skill/knowledge of... [writing in or using R Markdown/Quarto?],Advanced,2
How do you perceive your skill/knowledge of... [writing in or using R Markdown/Quarto?],Beginner,4
How do you perceive your skill/knowledge of... [writing in or using R Markdown/Quarto?],Beginner-Intermediate,5
How do you perceive your skill/knowledge of... [writing in or using R Markdown/Quarto?],Intermediate,6
How do you perceive your skill/knowledge of... [writing in or using R Markdown/Quarto?],Intermediate-Advanced,5
How often do you currently use: [tidyverse],Daily,10
How often do you currently use: [tidyverse],Few times a month,2
How often do you currently use: [tidyverse],Few times a week,7
How often do you currently use: [tidyverse],Never,2
How often do you currently use: [tidyverse],Once a month,1
How often do you currently use: [GitHub and Git],Daily,2
How often do you currently use: [GitHub and Git],Few times a month,1
How often do you currently use: [GitHub and Git],Few times a week,6
How often do you currently use: [GitHub and Git],Never,7
How often do you currently use: [GitHub and Git],Once a month,2
How often do you currently use: [GitHub and Git],Once a week,4
How often do you currently use: [R Markdown/Quarto],Daily,3
How often do you currently use: [R Markdown/Quarto],Few times a month,3
How often do you currently use: [R Markdown/Quarto],Few times a week,7
How often do you currently use: [R Markdown/Quarto],Never,5
How often do you currently use: [R Markdown/Quarto],Once a month,4
How often do you currently use: [purrr],Daily,3
How often do you currently use: [purrr],Few times a month,2
How often do you currently use: [purrr],Few times a week,3
How often do you currently use: [purrr],Never,6
How often do you currently use: [purrr],Once a month,6
How often do you currently use: [purrr],Once a week,2
How often do you currently use: [styler],Few times a month,1
How often do you currently use: [styler],Few times a week,3
How often do you currently use: [styler],Never,16
How often do you currently use: [styler],Once a month,2
What programs have you previously used for data analysis?,Excel,1
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, R",1
What programs have you previously used for data analysis?,Matlab,1
What programs have you previously used for data analysis?,"Matlab, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,None,1
What programs have you previously used for data analysis?,Python,1
What programs have you previously used for data analysis?,"Python, Excel",2
What programs have you previously used for data analysis?,"Python, Excel, GraphPad Prism",5
What programs have you previously used for data analysis?,"Python, Excel, R",1
What programs have you previously used for data analysis?,"Python, Matlab",1
What programs have you previously used for data analysis?,"SAS/SAS JMP, SPSS, Stata, Python, Excel",1
What programs have you previously used for data analysis?,"SPSS, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,"SPSS, Stata, Python, Excel",1
What programs have you previously used for data analysis?,Stata,3
What programs have you previously used for data analysis?,"Stata, Excel, R",1
Do you accept the conditions laid out in the Code of Conduct?,Yes,22
