question,response
Why do you want to attend this workshop?,"Because it is relevant to my project, and I will be using it a lot"
Why do you want to attend this workshop?,Get a better understanding of GitHub and how to use it specifically in relation to DP-next
Why do you want to attend this workshop?,"I keep hearing about GitHub, so now I want to make an effort to understand it better. This workshop seems like a great opportunity to do so."
Why do you want to attend this workshop?,"I want to learn the basics of information sharing in research , as well as coding. All tools are welcome."
Why do you want to attend this workshop?,Need to learn how to use Github
Why do you want to attend this workshop?,To learn more about Git and GitHub
Why do you want to attend this workshop?,To learn more about Github as a way to manage projects
Why do you want to attend this workshop?,To learn more about github
Why do you want to attend this workshop?,To learn more about github and how to use it. Also hope to learn how to use git
Why do you want to attend this workshop?,To master GitHub and write and document all parts in research.
Why do you want to attend this workshop?,yes
What do you expect to learn and what would you like to be able to do with what you've learned?,Get an understanding on the general structure on GitHub and how to use it for the DP-next project
What do you expect to learn and what would you like to be able to do with what you've learned?,How to use github for science and teamwork
What do you expect to learn and what would you like to be able to do with what you've learned?,How to use it and what it is best used for.
What do you expect to learn and what would you like to be able to do with what you've learned?,How we will use it across DP Next - and hopefully in other projects. I would like to learn how to use it for project management wrt timeline and assignments
What do you expect to learn and what would you like to be able to do with what you've learned?,I want to be able to use GitHub as more than just a dropbox
What do you expect to learn and what would you like to be able to do with what you've learned?,Know more about the possibilites when using Github so I will be able to try it myself
What do you expect to learn and what would you like to be able to do with what you've learned?,Setup and use version control on all my projects
What do you expect to learn and what would you like to be able to do with what you've learned?,Use GitHub as tool
What do you expect to learn and what would you like to be able to do with what you've learned?,Use Github in DP-Next
What do you expect to learn and what would you like to be able to do with what you've learned?,Work strictured efficiently in GitHub
What do you expect to learn and what would you like to be able to do with what you've learned?,"expect to learn how to navigate and use GitHub, as I have not previously been accustomed to using it."
"In your opinion, what worked well?",Easy to read
"In your opinion, what worked well?",It is easy to understand and the summary in the end is really good
"In your opinion, what worked well?",It's long and I'm more of a visual learner. Therefor a layout like this kills my motivation a bit.
"In your opinion, what worked well?","It’s nice to get an overview of what the workshop will cover before it starts, so you know what you’re getting into."
"In your opinion, what worked well?",Simple text
"In your opinion, what worked well?","Since it’s just a quick overview of descriptions and terms, it seems a bit drawn-out, but overall OK."
"In your opinion, what worked well?",The information was precise.
"In your opinion, what worked well?","Well presented introduction to workshop area, and thorough"
"In your opinion, what worked well?",the whole thing.
"In your opinion, what worked well?",xx
"In your opinion, what could be improved?",Do not have anything at this moment
"In your opinion, what could be improved?","I could still use a few more concrete examples of what GitHub can be used for, since I’ve heard it can do a lot more than what is being presented."
"In your opinion, what could be improved?",It could be cool with an audio version for the bike ride :-)
"In your opinion, what could be improved?","Make it more concise: trim repetition, add a one-page cheat sheet, and highlight key takeaways/best-practice bullets at the end."
"In your opinion, what could be improved?",Make it shorter.
"In your opinion, what could be improved?",Maybe it would be nice to have more tasks in the pre-workshop - but not that necessary
"In your opinion, what could be improved?","Maybe too thorough, e.g. learning design is quite long."
"In your opinion, what could be improved?",Nothing
"In your opinion, what could be improved?","Nothing. I think it was very good, as someone who teach myself I was even inspired."
"In your opinion, what could be improved?",xx
