questions,responses,count
What is your formal position?,PhD student,12
What is your formal position?,Postdoc,3
What city do you work in or nearest to?,Copenhagen,1
What city do you work in or nearest to?,Goteborg,1
What city do you work in or nearest to?,Gothenburg,11
What city do you work in or nearest to?,Göteborg,2
How do you perceive your skill/knowledge of... [using R?],Beginner,4
How do you perceive your skill/knowledge of... [using R?],Beginner-Intermediate,3
How do you perceive your skill/knowledge of... [using R?],Intermediate,5
How do you perceive your skill/knowledge of... [using R?],Intermediate-Advanced,3
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner,1
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner-Intermediate,6
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate,4
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate-Advanced,4
How do you perceive your skill/knowledge of... [programming in general?],Beginner,3
How do you perceive your skill/knowledge of... [programming in general?],Beginner-Intermediate,5
How do you perceive your skill/knowledge of... [programming in general?],Intermediate,4
How do you perceive your skill/knowledge of... [programming in general?],Intermediate-Advanced,3
How do you perceive your skill/knowledge of... [managing data in general?],Beginner,1
How do you perceive your skill/knowledge of... [managing data in general?],Beginner-Intermediate,5
How do you perceive your skill/knowledge of... [managing data in general?],Intermediate,4
How do you perceive your skill/knowledge of... [managing data in general?],Intermediate-Advanced,5
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner,5
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner-Intermediate,9
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Intermediate,1
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner,4
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner-Intermediate,6
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate,4
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate-Advanced,1
What programs have you previously used for data analysis?,Excel,2
What programs have you previously used for data analysis?,"Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,"Matlab, Excel",2
What programs have you previously used for data analysis?,"Matlab, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,"Matlab, Excel, GraphPad Prism, SigmaPlot, Origin",1
What programs have you previously used for data analysis?,"Python, Excel",1
What programs have you previously used for data analysis?,"Python, Matlab, Excel",1
What programs have you previously used for data analysis?,SPSS,2
What programs have you previously used for data analysis?,"SPSS, Excel",1
What programs have you previously used for data analysis?,"SPSS, Excel, R",1
What programs have you previously used for data analysis?,"SPSS, Python, Matlab, Excel",1
What programs have you previously used for data analysis?,"SPSS, Stata, Python, Excel",1
Do you accept the conditions laid out in the Code of Conduct?,Yes,15
What gender do you identify with?,Genderqueer Transmasculine,1
What gender do you identify with?,Man,4
What gender do you identify with?,Woman,10
How often do you currently use: [dplyr],Daily,1
How often do you currently use: [dplyr],Few times a month,3
How often do you currently use: [dplyr],Few times a week,2
How often do you currently use: [dplyr],Never,1
How often do you currently use: [dplyr],Once a month,4
How often do you currently use: [dplyr],Once a week,4
How often do you currently use: [tidyr],Daily,1
How often do you currently use: [tidyr],Few times a month,1
How often do you currently use: [tidyr],Few times a week,2
How often do you currently use: [tidyr],Never,2
How often do you currently use: [tidyr],Once a month,5
How often do you currently use: [tidyr],Once a week,4
How often do you currently use: [pipe (%>%)],Daily,2
How often do you currently use: [pipe (%>%)],Few times a month,6
How often do you currently use: [pipe (%>%)],Few times a week,3
How often do you currently use: [pipe (%>%)],Never,1
How often do you currently use: [pipe (%>%)],Once a month,2
How often do you currently use: [pipe (%>%)],Once a week,1
How often do you currently use: [GitHub/GitLab and Git],Daily,1
How often do you currently use: [GitHub/GitLab and Git],Few times a month,3
How often do you currently use: [GitHub/GitLab and Git],Few times a week,3
How often do you currently use: [GitHub/GitLab and Git],Never,5
How often do you currently use: [GitHub/GitLab and Git],Once a month,3
How often do you currently use: [R Markdown],Daily,2
How often do you currently use: [R Markdown],Few times a month,2
How often do you currently use: [R Markdown],Few times a week,2
How often do you currently use: [R Markdown],Never,4
How often do you currently use: [R Markdown],Once a month,5
How often do you currently use: [purrr],Daily,1
How often do you currently use: [purrr],Few times a month,2
How often do you currently use: [purrr],Few times a week,1
How often do you currently use: [purrr],Never,7
How often do you currently use: [purrr],Once a month,2
How often do you currently use: [purrr],Once a week,2
How often do you currently use: [tidyverse],Daily,2
How often do you currently use: [tidyverse],Few times a month,6
How often do you currently use: [tidyverse],Few times a week,3
How often do you currently use: [tidyverse],Never,1
How often do you currently use: [tidyverse],Once a month,1
How often do you currently use: [tidyverse],Once a week,2
How often do you currently use: [vroom/readr],Daily,1
How often do you currently use: [vroom/readr],Few times a month,4
How often do you currently use: [vroom/readr],Few times a week,1
How often do you currently use: [vroom/readr],Never,5
How often do you currently use: [vroom/readr],Once a month,4
