questions,responses
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"Become more organised in my research projects. Learn tools to aid data management, including more efficient data management. Lear Quarto."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Better data handling skills
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Data management and using Git/Github
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Data processing and become more familiar with using R. I would like to be more comfortable with basic functions and functionalities in R that I can use when I need to work with my own data.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"From the start of my work with R, I hope to be aware of how to set the project up in an easy and intuitive way, so that both myself and others can understand and use/share the code"
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Gain more knowledge about and confidence with RStudio and its great possibilities in order to facilitate my PhD study
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Handling of large data sets and manage data so they are clear to work with. Developing scripts that I can reuse for my project and just feed new data in as sample collection proceeds.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,Hope to get better at especially data cleaning and data management.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"How to better organize files, including script files, data files and results. The use of functions. The use of Git."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect to learn how to clean and tidy data in a consistent and traceable way. After completing the course, I would like to be able to clean the data that I received from our collaborators at the hospital ""in a proper way""."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I expect to learn more about how to use R more efficiently. I know the basics, I think, and I have done some data analyses before. I feel like I need to optimize my workflow to enhance especially in the setting of working with others on the same project. I also struggle with data cleaning, which is quite heavy in my current project. I hope to get more tips and info from the course to improve that."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I expect to learn more about reproducible data processing and analysis. I want to learn more about data wrangling. I hope I will be able to perform the data wrangling needed for the data sets that I am going to work with during my PhD
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I had no prior experience with using R and reproducibility. Participated in the introduction course and gained a lot of new knowledge. Hope to expand my skills and tools.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I hope to build upon the stuff I learned from the introductory course. Particularly how to make my data processing reproducible, and hopefully a little bit more about making my research open and reproducible in genereal."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,"I hope to learn to to clean and prepare datasets, as well as effectively make functions."
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to be able to use R for data wrangling and analysis of my data in REDCAP with API token and CSV files etc.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to be better at data management and learn some cool tips and tricks for using R when I analyze transcriptomic data.
What do you expect to learn from this course and what would you like to be able to do afterward with what you've learned?,I would like to become more familiar with shared scripts and using Github.
