question,response
Why do you want to attend this workshop?,To improve my coding skills in R and to learn more about reproducible research.
Why do you want to attend this workshop?,Improving R skills
Why do you want to attend this workshop?,Get better at using R for my research and manage projects
Why do you want to attend this workshop?,"I attended the introductory course and found it highly valuable. Since all of my statistical analyses during my PhD will be conducted in R, the skills gained in this workshop would be directly relevant to my work. I was therefore very enthusiastic when reading the course description."
Why do you want to attend this workshop?,To advance in using R and adopt a framework for reproducible research.
Why do you want to attend this workshop?,To be able to do data handling and analysis in R and create reproducible coding.
Why do you want to attend this workshop?,I want to improve my R skills and learn more about reproducibility in research
Why do you want to attend this workshop?,I want to be better at producing good R scripts as can be reproduced
Why do you want to attend this workshop?,To learn and gain practical experience with using R for data analysis and reproducibility
Why do you want to attend this workshop?,"I am and will continue to work a lot with R, and therefore needs tools so others understand my work and can re-used it to reproduce. Furthermore, I really like to understand the use of R better. I also want to expand my toolbox from the introductory course."
Why do you want to attend this workshop?,To build on the foundation I gained in the introductory R course in February and improve my ability to apply R effectively in my research
Why do you want to attend this workshop?,To learn how to use R
Why do you want to attend this workshop?,"To learn more about coding in R, because I will use it for both statistics and omics data analyses"
Why do you want to attend this workshop?,"To get better at coding in R, and to apply the same reproducible approach to each project/study"
Why do you want to attend this workshop?,"I attended the introductory course as well, which I found incredibly rewarding. I'm motivated to improve my skills in R and to learn good habits from the beginning to assist my further research career."
Why do you want to attend this workshop?,To continue expand my R skills
Why do you want to attend this workshop?,"In previous projects, I struggled with writing clear, reproducible, and functional code for my transcriptomic/proteomic analyses."
Why do you want to attend this workshop?,I want to expland my skills in R.
Why do you want to attend this workshop?,because I want to improve my R coding and make sure that the code is reproducible. I have hear from colleges that it is a great course.
Why do you want to attend this workshop?,"To learn more about how I become better at creating reproducible work. My collegues sometimes use my programs, and I'm very interested in the functional programs that have been mentioned. Also I was taugt SAS but have taught myself R, so I'm better at documenting my programmes in SAS and I want to be good at this in R too."
Why do you want to attend this workshop?,Get better at working with R and handeling data within R.
Why do you want to attend this workshop?,I want to use R (and if possible Git and GitHub) for my statistical analyses during my phd
Why do you want to attend this workshop?,"To get better at using R, Git and GitHub"
