question,response,count
What gender do you identify with?,Man,9
What gender do you identify with?,Woman,21
What is your formal position?,Academic Research Officer,1
What is your formal position?,Assistant professor,1
What is your formal position?,PhD student,27
What is your formal position?,Postdoc,1
What city do you work in or near?,Aalborg,6
What city do you work in or near?,Aarhus,8
What city do you work in or near?,Copenhagen,9
What city do you work in or near?,Odense,7
"What programs have you previously used for data analysis, if any?",Excel,2
"What programs have you previously used for data analysis, if any?","Excel, GraphPad Prism",5
"What programs have you previously used for data analysis, if any?","Excel, GraphPad Prism, R studio",1
"What programs have you previously used for data analysis, if any?","Excel, R",1
"What programs have you previously used for data analysis, if any?","Excel, R Studio",1
"What programs have you previously used for data analysis, if any?",GraphPad Prism,2
"What programs have you previously used for data analysis, if any?",None,4
"What programs have you previously used for data analysis, if any?",R,1
"What programs have you previously used for data analysis, if any?",SAS/SAS JMP,1
"What programs have you previously used for data analysis, if any?","SAS/SAS JMP, SPSS, R",1
"What programs have you previously used for data analysis, if any?",SPSS,1
"What programs have you previously used for data analysis, if any?","SPSS, Excel",1
"What programs have you previously used for data analysis, if any?","SPSS, Stata, Excel",1
"What programs have you previously used for data analysis, if any?","SPSS, Stata, GraphPad Prism",1
"What programs have you previously used for data analysis, if any?",Stata,5
"What programs have you previously used for data analysis, if any?","Stata, Excel",1
"What programs have you previously used for data analysis, if any?","Stata, R (a little)",1
Do you accept the expectations described in the Code of Conduct?,Yes,30
How do you perceive your skill/knowledge of [using R?],Beginner,4
How do you perceive your skill/knowledge of [using R?],Beginner-Intermediate,16
How do you perceive your skill/knowledge of [using R?],Intermediate,10
How do you perceive your skill/knowledge of [data analysis in general?],Beginner,3
How do you perceive your skill/knowledge of [data analysis in general?],Beginner-Intermediate,13
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate,11
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate-Advanced,3
How do you perceive your skill/knowledge of [programming in general?],Beginner,12
How do you perceive your skill/knowledge of [programming in general?],Beginner-Intermediate,12
How do you perceive your skill/knowledge of [programming in general?],Intermediate,4
How do you perceive your skill/knowledge of [programming in general?],Intermediate-Advanced,2
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner,19
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner-Intermediate,8
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Intermediate,2
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Intermediate-Advanced,1
How do you perceive your skill/knowledge of [managing data in general?],Advanced,1
How do you perceive your skill/knowledge of [managing data in general?],Beginner,4
How do you perceive your skill/knowledge of [managing data in general?],Beginner-Intermediate,12
How do you perceive your skill/knowledge of [managing data in general?],Intermediate,10
How do you perceive your skill/knowledge of [managing data in general?],Intermediate-Advanced,3
How do you perceive your skill/knowledge of [writing in or using R Markdown/Quarto?],Beginner,10
How do you perceive your skill/knowledge of [writing in or using R Markdown/Quarto?],Beginner-Intermediate,13
How do you perceive your skill/knowledge of [writing in or using R Markdown/Quarto?],Intermediate,5
How do you perceive your skill/knowledge of [writing in or using R Markdown/Quarto?],Intermediate-Advanced,2
How often do you currently use [dplyr],A few times a month,16
How often do you currently use [dplyr],A few times a week,7
How often do you currently use [dplyr],Daily,3
How often do you currently use [dplyr],Never,4
How often do you currently use [tidyverse],A few times a month,17
How often do you currently use [tidyverse],A few times a week,6
How often do you currently use [tidyverse],Daily,3
How often do you currently use [tidyverse],Never,4
How often do you currently use [Git],A few times a month,7
How often do you currently use [Git],A few times a week,2
How often do you currently use [Git],Daily,1
How often do you currently use [Git],Never,19
How often do you currently use [GitHub],A few times a month,8
How often do you currently use [GitHub],A few times a week,1
How often do you currently use [GitHub],Daily,1
How often do you currently use [GitHub],Never,20
How often do you currently use [styler],A few times a month,13
How often do you currently use [styler],Never,16
