session_name,question,response
Day 1,worked well for the Management of R projects,Great with a basic introduction to thinking a bit differently than previously
Day 1,worked well for the Version control and collaborative practices,"It was nice to get help setting up Git and GitHub, as it could lead to a lot of problems"
Day 1,worked well for the first day's Social/Networking activity,It was nice to get to connect with the group
Day 2,could be improved for the Creating reproducible documents,"A little too little time (which is to be expected). I don't know if it's coming up, but I would like to learn to refer to objects/code in R (for manuscript writing purposes). Might not be relevant for this course"
Day 2,could be improved for the Creating reproducible documents,A more broad introduction to the idea of quarto
Day 2,could be improved for the Creating reproducible documents,Again creating a form of guide for the future
Day 2,could be improved for the Creating reproducible documents,Don't know!
Day 2,could be improved for the Creating reproducible documents,Everything was well-structured
Day 2,could be improved for the Creating reproducible documents,I don't know
Day 2,could be improved for the Creating reproducible documents,Look above
Day 2,could be improved for the Creating reproducible documents,Maybe start a session after a lunch-break with a small 5-min catch-up on where we are and how to re-load the project.. in case you get lost.
Day 2,could be improved for the Creating reproducible documents,Maybe state where and when it is usable for us researchers to be
Day 2,could be improved for the Creating reproducible documents,"More time, better overview"
Day 2,could be improved for the Creating reproducible documents,No good ideas
Day 2,could be improved for the Creating reproducible documents,No suggestions
Day 2,could be improved for the Creating reproducible documents,No suggestions.
Day 2,could be improved for the Creating reproducible documents,Nothing
Day 2,could be improved for the Creating reproducible documents,Nothing I can think of.
Day 2,could be improved for the Creating reproducible documents,Nothing that i can think of.
Day 2,could be improved for the Creating reproducible documents,"The chunk labelling was a bit confusing, since I read it as if the code chunk labelled r setup was supposed to contain labels of all the code chunks added to the qmd"
Day 2,could be improved for the Creating reproducible documents,could do a bit more hands on
Day 2,could be improved for the Creating reproducible documents,dunno. In general you always feel you are just scratching the surface and still don't understand anything
Day 2,could be improved for the Creating reproducible documents,more commits
Day 2,could be improved for the Creating reproducible documents,no comments
Day 2,could be improved for the Creating reproducible documents,not sure what should be improved
Day 2,could be improved for the Creating reproducible documents,scrolling too fast away from the codes
Day 2,could be improved for the Data management and wrangling,"A little fast, but we were a little behind schedule"
Day 2,could be improved for the Data management and wrangling,Applying basic biostatistics commands in a basic data set
Day 2,could be improved for the Data management and wrangling,"Due to time constrictions, some concetps were really fast. Not super problematic, we can go back and read it, just a bit stressful with the ""fear"" os missing what is going on"
Day 2,could be improved for the Data management and wrangling,Everything was well-structured
Day 2,could be improved for the Data management and wrangling,"I asked some questions in one of the exercises, where I felt looked down upon, because I missed information on a calculation in the exercise description. I'm certain that it was not meant personally and as a friendly ""laugh"", but I got a little hurt by it."
Day 2,could be improved for the Data management and wrangling,I don't know
Day 2,could be improved for the Data management and wrangling,I really like the exercises. Maybe more of them.
Day 2,could be improved for the Data management and wrangling,"I think there was a little bit of a lack in coherence in style between the different sessions. I found it a little ""frustrating"" that we did only use comments and not headers for instance"
Day 2,could be improved for the Data management and wrangling,"I would like to have the piping operator introduced sooner, as it in my opinion makes it so much easier to code"
Day 2,could be improved for the Data management and wrangling,If I would know I would tell you!
Day 2,could be improved for the Data management and wrangling,Making a basic start document/guide to use in the future would be really nice
Day 2,could be improved for the Data management and wrangling,Maybe some more exercises to perform two and two
