questions,responses
Why do you want to attend this course?,1. To build on my knowledge and experience of using R more reproducibly. 2. This course appears to be practical and interactive.3. I hope to meet other researchers in my area of interest and learn from them.
Why do you want to attend this course?,Because I lack a basic understanding of how R works and what it can do. I can work in R but I definitely do not exploit the full potential of R. My basic R training have been in base R so I lack experience with using tidyverse (though all my colleagues work in tidyverse).
Why do you want to attend this course?,Because i'm gonna use R in my research project.
Why do you want to attend this course?,"I have a working knowledge on coding in general, but i am lacking consistent methodologies. I lack basic knowledge on the anatomy of R as well as some basic coding knowhow."
Why do you want to attend this course?,"I have never done any programming, and just recently started learning R. I'm going to do large epidemiological studies, so I want to get a good start on programming. Others have recommended the course."
Why do you want to attend this course?,"I started as a PhD student with little to none knowledge about programming and data analysis of large data sets. Working as a researcher i think it is important, especially in epidemiology, to know and understand quantitative data analysis. Furthermore, i like the concept of R compared to other options as it is largely community based, free to use and enhance  reproducible research.I want to attend this course to learn more about R, programming in R, basic concepts and antimanagement as well as reproducible research as version control. I see it as a huge opportunity with hands-on learning and exercises."
Why do you want to attend this course?,I started my PhD 4 months ago and I need to learn how to use R in order to collaborate with another team and perform data analyses on large data sets
Why do you want to attend this course?,"I want to learn R, but after reading some of the introduction texts, I get interested in Git/GitHub and the possibilities to learn how to use it too. I have previously downloaded some files from GitHub, but the structure of it and working within it was a mystery."
Why do you want to attend this course?,I want to make sure my work practices in R are up to par and learn to use Git
Why do you want to attend this course?,"I want to start using R for data management, analysis and visualisation in my research. Many of my collaborators do so and would like to be able to follow along and contribute to that part of our work."
Why do you want to attend this course?,I want to upskill myself with Basic R programing for advanced data analytics and future job opportunities
Why do you want to attend this course?,I want to use R for my upcoming research projects
Why do you want to attend this course?,Im in the start of my PhD-study and have worked as a medical doctor for the previous 6 years. Im at a beginner level with data management and use of statistical programs (including R).
Why do you want to attend this course?,Improving my R skills
Why do you want to attend this course?,"Learn about using R and data analysis in general - in a reproducible, structured and educational manner based on my very basic level"
Why do you want to attend this course?,"This course provides insights on data processing in R in a reproducible manner. I am beginner to R, and to coding in general and I would like to gain more knowledge on the ways I can better streamline data analysis with my bioinformatician colleague."
Why do you want to attend this course?,To advance my skills in R and develop better habits in coding for reproducibility
Why do you want to attend this course?,To get confidential with R and learn how to use it.
Why do you want to attend this course?,To improve my skills with R and make my workflows better
Why do you want to attend this course?,"To learn basic skills in order to perform reproducible research and become familiar with R, Git and GitHub. In addition, the course was recommended to me by a colleague."
Why do you want to attend this course?,To learn how to use R
Why do you want to attend this course?,To learn more about R and version control
Why do you want to attend this course?,"To learn to perform reproducible science, as well as cover my basics in R, as this is where I do most of my data analysis"
Why do you want to attend this course?,"To move from using Stata to R, and to strengthen the reproducibility (and transparency) of my work."
Why do you want to attend this course?,Want to be able to perform data analysis in R. Especially working with large datasets.
Why do you want to attend this course?,i want to learn new data analysis with R
Why do you want to attend this course?,to improve my overall coding skills
"In your opinion, what worked well?",Clear descriptions. Good to have pictures/videos.
"In your opinion, what worked well?","Honestly, all of it. I feel prepared, and I did not encounter any problems with the material."
"In your opinion, what worked well?",I really like this setup. It's easy to navigate and clearly described
"In your opinion, what worked well?","I think its a really great idea to make people prepare their programme, so this doesn't take time."
"In your opinion, what worked well?","I think the pre-course task material is pretty good. I have had a single cell genomics course previously, during which we used half of the time to update packages and solve computer issues. I think it is a smart way to get everyone to be on the same page."
"In your opinion, what worked well?","It is very nice and thorough developed material. Good with examples of commands and screen shots of windows with explanations.However, it was a little bit difficult to navigate what to do first/next, especially when diving into downloads, installations and initial commands-running."
"In your opinion, what worked well?",It was very easy to follow the instructions - even for one totally new to this part of research.
"In your opinion, what worked well?",It was very easy to follow the steps and guides. The videos was a nice touch.
"In your opinion, what worked well?","It was very well described and the instructions was easy to follow as a beginner. It works well that installation of the programs are already in place before the course, so that there won't be spend unnecessary time on this on the course."
"In your opinion, what worked well?",It works nice that we download all the right versions and everything is setup before the course.
"In your opinion, what worked well?",It's nice to know that everyone will come prepared. Everything has been setup in a very neat and tidy way.
"In your opinion, what worked well?",Precise and concise. Was very reader friendly. Enjoyed it!
"In your opinion, what worked well?",The format of the course materials is very nice and easy to navigate.
"In your opinion, what worked well?",The instructions very straightforward.
"In your opinion, what worked well?",The language is easy to understand. Videos were good.
"In your opinion, what worked well?","The pre-course material is easy to read, easy to follow, and easy to understand or work through. It is not too advanced to make meaning and relevance. I was able to do the assignments without significant difficulties."
"In your opinion, what worked well?","The pre-course tasks were very easy to follow, and the order of the tasks was logical."
"In your opinion, what worked well?",The precourse tasks were easy to follow and understand
"In your opinion, what worked well?",To be guided in loading all up to date versions of R and R Studio and the required tools.
"In your opinion, what worked well?",To be sure R is ready to use when the course starts
"In your opinion, what worked well?",Very good instructions on setting up R and github.
"In your opinion, what worked well?","Very well structured,  easy to follow instructions, clear introduction to the course"
"In your opinion, what worked well?","Yes, the structure, the videos, the nice overview/layout and examples"
"In your opinion, what worked well?","everything is simple and clear, thank you"
"In your opinion, what worked well?","happygitwithr was a very useful site and helped me set up git and connect to github. but some steps were still confusing, so I am hoping during the course the whole workflow will make more sense."
"In your opinion, what worked well?","step by step, easy to understand and do"
"In your opinion, what worked well?","well organized, easy to perform"
"In your opinion, what could be improved?","1) I think that you might improve the above mentioned navigation difficulties by dedicated and separated, platform-specific workarounds (one for Mac, one for Windows, one for Linux, etc).2) Apropos email communications: I suggest that you should highlight in the first email that a) the pre-course tasks takes several hours to complete and b) the possible need for timely contact to IT department regarding download and installation of programs."
"In your opinion, what could be improved?","As I did not encounter any problems, I do not have any suggestions for improvement. As mentioned, I feel throughly prepared for the course, and it was a very pleasant and easy way to go about it."
"In your opinion, what could be improved?",Have the instruction for reading parts 6.1 to 6.3 after the instruction of configuring Git
"In your opinion, what could be improved?",I do not have any suggestions here (yet). might be easier to come with suggestions for improvement of pre-course tasks after the course.
"In your opinion, what could be improved?",I don't know
"In your opinion, what could be improved?",I had trouble with RStudio loading old versions even though I downloaded the new one. Maybe a comment about deleting old versions before installing e.g. Rtools could have helped.
"In your opinion, what could be improved?",I was content
"In your opinion, what could be improved?","I watched a ""code along"" introduction on youtube which took 20-30 min. Afterwards a read the precourse material again, and it made much more sense to me the second time. Maybe it is possible to incorporate something like that."
