questions,responses,count
What is your formal position?,MSc student,1
What is your formal position?,PhD student,19
What is your formal position?,Postdoc,7
What city do you work in or near?,Aarhus,11
What city do you work in or near?,Copenhagen,10
What city do you work in or near?,Leipzig,1
What city do you work in or near?,Odense,3
What city do you work in or near?,Potsdam,2
How do you perceive your skill/knowledge of [using R?],Beginner,16
How do you perceive your skill/knowledge of [using R?],Beginner-Intermediate,7
How do you perceive your skill/knowledge of [using R?],Intermediate,2
How do you perceive your skill/knowledge of [using R?],Intermediate-Advanced,2
What programs have you previously used for data analysis?,Excel,2
What programs have you previously used for data analysis?,"Excel, GraphPad Prism",5
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, R",2
What programs have you previously used for data analysis?,"Excel, GraphPad Prism, R Studio",1
What programs have you previously used for data analysis?,"Excel, Origin",1
What programs have you previously used for data analysis?,"Excel, Python",1
What programs have you previously used for data analysis?,"Excel, Python and R",1
What programs have you previously used for data analysis?,"Excel, covidence",1
What programs have you previously used for data analysis?,GraphPad Prism,1
What programs have you previously used for data analysis?,None,3
What programs have you previously used for data analysis?,R,1
What programs have you previously used for data analysis?,SAS/SAS JMP,1
What programs have you previously used for data analysis?,"SAS/SAS JMP, Excel",1
What programs have you previously used for data analysis?,"SAS/SAS JMP, Stata, Excel, GraphPad Prism",1
What programs have you previously used for data analysis?,SPSS,1
What programs have you previously used for data analysis?,"SPSS, Excel",1
What programs have you previously used for data analysis?,Stata,1
What programs have you previously used for data analysis?,"Stata, Excel, Python",1
What programs have you previously used for data analysis?,"Stata, GraphPad Prism",1
Do you accept the conditions laid out in the Code of Conduct?,Yes,27
How do you perceive your skill/knowledge of [data analysis in general?],Beginner,11
How do you perceive your skill/knowledge of [data analysis in general?],Beginner-Intermediate,7
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate,7
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate-Advanced,2
How do you perceive your skill/knowledge of [programming in general?],Beginner,17
How do you perceive your skill/knowledge of [programming in general?],Beginner-Intermediate,6
How do you perceive your skill/knowledge of [programming in general?],Intermediate,4
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner,25
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner-Intermediate,2
What gender do you identify with?,Man,9
What gender do you identify with?,Woman,18
