question,response
Why do you want to attend this workshop?,To learn about R and coding practice
Why do you want to attend this workshop?,"I am currently working with transcriptomics, including both bulk and single-nucleus RNA sequencing, which will be central to my upcoming project. I am eager to join this course to enhance my ability to write reproducible, well-structured code that is accessible to others, ensuring that my analyses can be reliably shared, understood, and built upon by the scientific community."
Why do you want to attend this workshop?,Learn to work in R and prepare for implementation of Github at our research center
Why do you want to attend this workshop?,"I signed up for this workshop to strengthen my ability to handle complex datasets and perform advanced analyses in R, while also learning how to make my work fully reproducible. In addition, I value the opportunity to engage with other participants and look forward to the collaborative and social aspects of the workshop."
Why do you want to attend this workshop?,I need to conduct data analyses in R as part of my research. I currently have very limited experience with R and want to build a solid foundation to further develop my skills.
Why do you want to attend this workshop?,To learn how to use R
Why do you want to attend this workshop?,To learn R and Git
Why do you want to attend this workshop?,To learn how to use R
Why do you want to attend this workshop?,"To be better at using R in science, as this will be the main program for data analysis during my PhD."
Why do you want to attend this workshop?,To gain skills in reproducible research to support a future career in health care research.
Why do you want to attend this workshop?,"I would like to learn more about R and Rstudio, as i expect Rstudio to become my primary program for statistics and analysis of data."
Why do you want to attend this workshop?,To get better at R and be better at setting up scripts and code
Why do you want to attend this workshop?,I want to use the knowledge from the course to conduct data analyses.
Why do you want to attend this workshop?,I want to be more familiar with R and learn how to do different regressions myself
Why do you want to attend this workshop?,Improvement of R-skills and learning to use Git and GitHub for reproducible research.
Why do you want to attend this workshop?,Because I am going to use R a lot throughout my PhD which is entirely register-based.
Why do you want to attend this workshop?,"I want to attend this workshop because it offers a valuable opportunity to strengthen not only my statistical skills but also my broader development as an early career researcher. As a PhD student working in diabetes research, gaining a deeper and more structured understanding of data management and analysis is essential to ensure the robustness and quality of my work. In addition, the interdisciplinary nature of the workshop provides an ideal environment to engage with other early career researchers, exchange perspectives, and begin building meaningful professional connections within the scientific community."
Why do you want to attend this workshop?,I really want to learn to use R
Why do you want to attend this workshop?,I want to learn more about R and how to use the programme. Also to understand GitHub which is totally new to me.
Why do you want to attend this workshop?,"To expand my data analysis skills from Stata to R, learn efficient data handling, collaboration, and improve reproducibility and visualization in my research."
Why do you want to attend this workshop?,To learn how to organize and streamline my research at an early stage in my career.
Why do you want to attend this workshop?,"To get started using R which I will be using to analyze genotype-phenotype associations as well as scRNAseq and spatial transcriptomics. My research group is mainly a computational group however, I have no experience with R yet."
Why do you want to attend this workshop?,To gain more experience in using R for my research
Why do you want to attend this workshop?,"Follow and verify coauthors work, eventually run my own large, complex datasets"
Why do you want to attend this workshop?,I am currently working on a clinical research project and want to use R for data management and statistical analysis. I have never worked with R before and hopefullly this workshop will help me analyze my own data more independently and efficiently.
Why do you want to attend this workshop?,"I hope to learn ways to utilize, R, Rstudio, Quarto, for research, but also to utilize in my currently work. I hope to be able to create more transparent and reproducible research. I've heard a great amount of praise of R, and that R allows for a larger variety of tests than STATA, with much larger online forums for support. I"
Why do you want to attend this workshop?,"I got my data for my PhD project not long ago, but have no/very little experince with R. I hope to ""understand"" the codes and how to make my research transparent and reproduceable"
