question,response,count
What gender do you identify with?,Man,10
What gender do you identify with?,Woman,19
What is your formal position?,Academic Research Officer,1
What is your formal position?,Assistant professor,1
What is your formal position?,Pre-PhD,1
What is your formal position?,Masters student,1
What is your formal position?,PhD student,20
What is your formal position?,Postdoc,1
What is your formal position?,Research assistant,4
What city do you work in or near?,Aalborg,5
What city do you work in or near?,Aarhus,6
What city do you work in or near?,Copenhagen,7
What city do you work in or near?,Esbjerg,1
What city do you work in or near?,Odense,9
What city do you work in or near?,Silkeborg,1
"What programs have you previously used for data analysis, if any?",Excel,4
"What programs have you previously used for data analysis, if any?","Excel, GraphPad Prism",7
"What programs have you previously used for data analysis, if any?","Excel, GraphPad Prism, I have used R a little bit before",1
"What programs have you previously used for data analysis, if any?","Excel, GraphPad Prism, R, Rstudio",1
"What programs have you previously used for data analysis, if any?",GraphPad Prism,1
"What programs have you previously used for data analysis, if any?",None,3
"What programs have you previously used for data analysis, if any?",R/RStudio,1
"What programs have you previously used for data analysis, if any?",SAS/SAS JMP,1
"What programs have you previously used for data analysis, if any?",SPSS,2
"What programs have you previously used for data analysis, if any?","SPSS, Stata, Excel",1
"What programs have you previously used for data analysis, if any?",Stata,4
"What programs have you previously used for data analysis, if any?","Stata, Excel",3
Do you accept the expectations described in the Code of Conduct?,Yes,29
How do you perceive your skill/knowledge of [using R?],Beginner,21
How do you perceive your skill/knowledge of [using R?],Beginner-Intermediate,6
How do you perceive your skill/knowledge of [using R?],Intermediate,2
How do you perceive your skill/knowledge of [data analysis in general?],Beginner,10
How do you perceive your skill/knowledge of [data analysis in general?],Beginner-Intermediate,9
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate,7
How do you perceive your skill/knowledge of [data analysis in general?],Intermediate-Advanced,3
How do you perceive your skill/knowledge of [programming in general?],Beginner,22
How do you perceive your skill/knowledge of [programming in general?],Beginner-Intermediate,3
How do you perceive your skill/knowledge of [programming in general?],Intermediate,4
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner,27
How do you perceive your skill/knowledge of [formal version control (e.g. Git)?],Beginner-Intermediate,2
